,時刻,氣溫（℃）,風速（m/s）,風向,降水量（mm/h）,日照（分）
0,01時,22.6,2,東北東,0.0,0
1,24時,22.7,4,東北東,0.0,0
2,23時,23.2,2,東北東,0.0,0
3,22時,23.3,4,東北東,0.5,0
4,21時,23.6,3,北東,0.0,0
5,20時,23.6,4,東北東,0.0,0
6,19時,23.8,5,東北東,4.0,0
7,18時,24.4,4,東北東,1.5,0
8,17時,25.2,4,東,0.5,0
9,16時,26.0,3,東北東,0.0,0
10,15時,26.6,4,東北東,0.0,0
11,14時,28.9,5,北北東,0.0,0
12,13時,30.1,4,東北東,0.0,2
13,12時,29.9,3,北東,0.0,0
14,11時,29.6,3,北北東,0.0,0
15,10時,29.0,1,北,0.0,0
16,09時,27.8,1,北北西,0.0,0
17,08時,27.5,2,北,0.0,0
18,07時,27.2,2,北西,0.0,0
19,06時,26.7,1,西,0.0,0
20,05時,25.7,1,西南西,0.0,0
21,04時,26.5,1,南西,0.0,0
22,03時,26.5,2,南南西,0.0,0
