,時刻,氣溫（℃）,風速（m/s）,風向,降水量（mm/h）,日照（分）
0,01時,23.9,4,南東,1.0,0
1,24時,20.4,4,東,0.5,0
2,23時,19.3,2,南,3.0,0
3,22時,19.4,1,西北西,0.5,0
4,21時,19.2,4,北西,2.0,0
5,20時,19.2,4,西北西,1.0,0
6,19時,20.9,3,北西,4.5,0
7,18時,20.5,2,北北西,4.5,0
8,17時,20.2,1,北,3.0,0
9,16時,20.2,3,北北東,3.5,0
10,15時,19.4,2,北,1.5,0
11,14時,19.1,2,北,3.0,0
12,13時,18.8,3,北北西,2.5,0
13,12時,18.8,2,北北西,1.5,0
14,11時,18.3,3,北北西,2.0,0
15,10時,18.5,2,北,1.0,0
16,09時,18.4,3,北北西,1.0,0
17,08時,18.3,3,北北西,0.5,0
18,07時,18.2,2,北北西,1.5,0
19,06時,18.1,2,北,1.5,0
20,05時,18.0,3,北北東,1.0,0
21,04時,18.3,3,北北東,2.0,0
22,03時,18.2,2,北東,3.5,0
