,時刻,氣溫（℃）,風速（m/s）,風向,降水量（mm/h）,日照（分）
0,12時,23.7,3,北北東,0.5,0
1,11時,23.6,4,北東,3.5,0
2,10時,23.7,3,北東,9.0,0
3,09時,23.8,3,東北東,1.5,0
4,08時,23.6,3,東北東,10.5,0
5,07時,24.2,2,東,3.0,0
6,06時,24.3,3,北東,0.0,0
7,05時,25.4,2,北,0.0,0
8,04時,27.3,3,西,0.0,0
9,03時,27.7,3,南南西,0.0,0
10,02時,27.6,2,南,0.0,0
11,01時,28.0,2,南,0.0,0
12,24時,28.1,2,南南西,0.0,0
13,23時,28.3,3,南,0.0,0
14,22時,28.3,3,南,0.0,0
15,21時,28.7,3,南,0.0,0
16,20時,29.0,2,南南西,0.0,0
17,19時,29.6,4,南,0.0,0
18,18時,29.9,4,南,0.0,0
19,17時,30.2,3,南南東,0.0,0
20,16時,30.8,3,南,0.0,0
21,15時,31.1,4,南南東,0.0,8
22,14時,32.2,4,南,0.0,4
