,年,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,年平均
57,1987,4.4,5.2,6.2,6.6,7.3,6.7,7.8,7.6,8.3,6.8,6.5,4.1,6.5
58,1988,5.2,5.2,7.6,6.3,7.3,7.8,9.0,7.9,9.3,6.4,3.6,2.6,6.5
59,1989,5.7,6.2,6.2,6.0,8.0,8.2,8.2,6.7,8.4,6.5,5.4,4.4,6.7
60,1990,4.7,8.1,5.4,6.7,7.1,8.1,7.6,5.4,7.0,7.0,4.7,3.1,6.2
61,1991,3.4,4.5,7.0,7.0,6.4,8.1,8.5,7.9,7.8,8.1,5.7,4.9,6.6
62,1992,3.8,5.3,8.0,5.9,7.4,8.5,7.5,6.8,7.0,7.2,5.5,4.8,6.5
63,1993,6.1,3.7,6.2,5.5,6.8,8.3,9.3,8.3,8.4,6.3,5.9,5.1,6.7
64,1994,4.8,4.6,6.8,6.6,7.0,7.9,7.5,6.0,7.6,8.5,4.8,5.2,6.4
65,1995,3.1,5.0,6.9,7.1,7.8,9.4,7.8,6.1,7.8,6.7,3.9,2.6,6.2
66,1996,3.9,5.0,7.1,6.0,7.0,9.0,7.0,8.1,7.7,6.3,7.0,3.8,6.5
67,1997,3.0,4.9,6.3,6.5,7.8,7.9,7.3,7.0,8.6,5.1,6.2,5.1,6.3
68,1998,4.9,6.1,5.9,8.3,8.2,9.2,8.7,8.9,7.9,7.6,5.5,5.1,7.2
69,1999,3.1,4.1,7.4,7.3,7.1,8.5,7.9,6.9,7.7,6.5,5.5,3.6,6.3
70,2000,6.0,4.2,4.7,6.7,7.4,8.0,6.5,6.8,7.2,8.2,7.4,4.2,6.4
71,2001,4.4,5.7,5.7,5.5,7.8,9.0,5.9,8.6,7.4,6.0,4.9,3.9,6.2
72,2002,3.9,5.6,5.5,7.4,8.2,8.4,7.7,6.1,7.7,5.4,5.7,5.9,6.5
73,2003,4.0,5.8,5.4,7.4,8.0,8.8,9.7,8.3,7.3,7.2,7.5,4.0,7.0
74,2004,4.1,4.0,6.4,5.4,8.3,7.5,6.3,8.0,7.4,7.1,5.6,5.3,6.3
75,2005,4.2,6.3,6.0,5.4,7.2,8.9,8.9,7.6,7.1,7.3,4.7,3.0,6.4
76,2006,4.9,6.5,5.9,7.1,7.9,9.1,9.4,7.5,7.8,7.1,6.1,5.9,7.1
77,2007,5.4,4.1,5.4,7.8,6.4,7.7,8.8,6.4,8.0,7.3,5.7,5.0,6.5
78,2008,5.4,4.3,5.7,7.2,8.5,8.8,8.6,8.6,7.9,7.1,6.2,4.0,6.9
79,2009,5.5,6.6,6.4,5.5,8.1,9.0,9.0,8.2,7.6,6.4,6.8,4.6,7.0
80,2010,3.8,6.9,7.0,8.2,7.4,7.9,7.7,6.7,7.6,8.6,5.8,4.5,6.8
81,2011,3.2,5.7,5.3,5.7,8.0,9.0,7.0,7.6,7.1,7.4,6.7,4.5,6.4
82,2012,5.0,6.4,6.4,6.9,7.5,8.9,8.3,6.3,8.1,6.8,5.8,4.7,6.8
83,2013,3.9,5.6,6.4,5.9,6.0,8.7,8.7,6.9,6.8,7.9,4.7,4.3,6.3
84,2014,4.5,7.0,5.6,5.7,6.7,8.4,7.6,7.5,7.8,7.4,6.2,4.2,6.6
85,2015,4.4,5.4,5.9,7.9,6.9,8.9,7.5,7.7,8.3,6.2,7.1,5.7,6.8
86,2016,4.4,5.8,7.0,8.2,7.3,8.3,8.2,7.8,8.9,7.9,6.7,4.9,7.1
87,2017,3.3,4.7,6.6,6.9,7.3,8.4,7.1 ),,,,,,6.3 ]
