,年,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,年平均
113,1988,52,46,59,60,62,72,77,76,78,60,56,47,62
114,1989,55,56,57,57,70,71,76,72,71,66,61,51,64
115,1990,50,67,49,59,60,68,71,68,70,66,64,49,62
116,1991,48,45,63,64,63,73,70,72,76,74,59,59,64
117,1992,56,49,66,61,64,71,72,70,62,71,63,52,63
118,1993,59,47,54,54,61,74,80,76,72,63,60,55,63
119,1994,55,45,55,57,63,71,69,68,74,68,60,53,62
120,1995,45,49,63,56 ),68,77,75,68,65,63,48,42,60
121,1996,47,48,53,55,65,72,74,72,72,70,65,55,62
122,1997,47,47,56,60,69,72,72,73,75,60,63,56,63
123,1998,59,60,57,76,71,76,76,78,77,71,55,57,68
124,1999,44,44,62,66,64,73,76,74,71,62,60,47,62
125,2000,51,38,44,55,68,74,70,69,69,67,63,46,60
126,2001,47,48,51,56,69,70,63,71,68,62,55,46,59
127,2002,46,48,49,57,64,69,70,66,69,62,50,57,59
128,2003,46,52,49,61,65,69,75,73,66,59,67,50,61
129,2004,43,45,53,51,67,66,62,65,68,69,60,49,58
130,2005,47,45,49,54,58,70,71,68,67,69,52,39,57
131,2006,44,53,48,57,65,71,74,69,68,66,59,52,61
132,2007,45,45,44,59,58,66,74,66,71,63,56,54,58
133,2008,45,41,52,59,65,72,71,74,69,66,56,53,60
134,2009,48,50,48,54,64,72,72,69,64,64,63,51,60
135,2010,41,60,61,62,60,67,70,67,68,68,56,50,61
136,2011,36,52,47,50,63,71,67,71,68,61,58,48,58
137,2012,43,49,59,63,65,73,75,69,73,65,58,52,62
138,2013,47,48,55,55,61,74,73,70,69,72,55,52,61
139,2014,45,52,52,56,62,75,74,74,68,67,63,55,62
140,2015,52,59,57,71,62,75,80,78,79,66,74,57,68
141,2016,55,56,61,67,66,75 ),80,78,86,72,71,59,69
142,2017,53,49,60,66,72,73,77 ),,,,,,64 ]
