,年,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,年平均
113,1987,38.0,29.5,94.0,42.5,65.0,120.5,146.5,45.5,214.5,193.0,39.5,60.5,1089.0
114,1988,28.0,17.5,185.0,107.5,144.0,198.0,158.0,341.5,251.5,58.5,26.0,0.0,1515.5
115,1989,95.0,107.0,118.0,187.0,210.0,205.0,154.0,360.5,204.0,197.0,71.0,29.0,1937.5
116,1990,32.5,116.5,97.5,137.5,120.5,68.0,51.0,181.5,287.0,148.5,234.0,38.0,1512.5
117,1991,55.0,69.0,164.0,112.5,61.0,142.0,72.0,238.0,445.5,533.0,114.0,36.0,2042.0
118,1992,50.0,36.0,205.0,167.5,134.0,237.0,111.5,9.0,108.0,328.0,168.0,65.5,1619.5
119,1993,115.0,57.0,60.5,58.0,65.5,260.0,316.5,412.0,140.0,156.0,167.0,65.0,1872.5
120,1994,50.0,88.5,114.5,49.0,133.5,144.5,93.5,92.5,235.0 ),57.0,50.5,23.0,1131.5
121,1995,36.0,27.0,180.0,99.5,204.5,185.5,171.0,31.0,164.5,79.0,42.0,0.0,1220.0
122,1996,13.0,45.0,118.0,111.0,128.0,36.0,253.5,31.5,382.0,83.5,84.0,48.0,1333.5
123,1997,29.0,21.5,106.0,105.5,186.0,170.5,185.0,144.0,204.0,19.0,91.0,40.5,1302.0
124,1998,122.0,110.5,108.0,188.0,140.5,150.5,156.5,143.5,229.0,142.5,7.5,48.0,1546.5
125,1999,19.5,35.5,144.5,205.0,103.5,192.5,342.0,301.0,91.0,87.5,93.0,7.0,1622.0
126,2000,66.5,4.0,85.5,151.5,109.0,232.0,373.5,162.0,164.0,142.5,106.0,6.5,1603.0
127,2001,126.5,23.0,107.5,40.5,170.5,144.5,41.5,136.5,204.0,343.0,123.5,30.0,1491.0
128,2002,98.5,25.0,82.0,58.0,112.5,151.5,124.0,120.0,207.0,194.0,27.5,94.5,1294.5
129,2003,101.0,53.5,159.5,121.0,172.5,85.0,187.5,370.0,150.0,171.5,229.5,53.0,1854.0
130,2004,3.5,20.0,129.5,69.5,149.0,112.5,23.5,79.5,195.0,780.0,108.5,79.5,1750.0
131,2005,77.0,48.0,71.0,81.0,180.5,170.5,247.5,189.5,177.5,201.5,34.5,3.5,1482.0
132,2006,67.0,113.0,79.5,123.0,99.0,138.5,165.0,126.0,175.5,318.0,135.0,200.5,1740.0
133,2007,42.0,57.0,77.0,134.0,115.5,80.0,253.0,9.5,319.5,135.5,37.0,72.0,1332.0
134,2008,17.5,57.0,119.5,240.0,255.0,225.5,48.0,387.5,158.5,204.5,74.0,70.5,1857.5
135,2009,142.0,46.5,98.5,162.5,242.0,226.0,78.5,242.0,53.0,276.5,151.5,82.5,1801.5
136,2010,9.0,115.0,143.5,214.0,114.0,108.0,70.0,27.0,428.0,211.0,94.5,145.5,1679.5
137,2011,3.5,151.0,74.0,96.0,213.5,116.5,54.5,244.0,235.0,119.5,112.5,59.5,1479.5
138,2012,50.0,94.0,144.5,118.5,231.0,185.0,130.0,25.0,214.5,154.5,154.0,69.0,1570.0
139,2013,70.0,30.0,44.5,283.0,56.0,159.0,115.5,99.0,231.5,440.0,26.0,59.5,1614.0
140,2014,24.5,157.5,113.5,155.0,135.5,311.0,105.5,105.0,155.5,384.5,98.5,62.0,1808.0
141,2015,92.5,62.0,94.0,129.0,88.0,195.5,234.5,103.5,503.5,57.0,139.5,82.5,1781.5
142,2016,85.0,57.0,103.0,120.0,137.5,174.5,81.5,414.0,287.0,96.5,139.0,84.0,1779.0
143,2017,26.0,15.5,85.5,122.0,49.0,106.5,29.0 ),,,,,,433.5 ]
