,年,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,年平均
35,1987,12,7,5,--,--,--,--,--,--,--,--,5,26
36,1988,0,1,1,9,--,--,--,--,--,--,--,--,16
37,1989,0,0,0,--,--,--,--,--,--,--,--,0,0
38,1990,4,11,--,--,--,--,--,--,--,--,--,0,15
39,1991,0,0,--,--,--,--,--,--,--,--,--,1,0
40,1992,1,13,0,--,--,--,--,--,--,--,--,--,15
41,1993,0,0,0,0,--,--,--,--,--,--,--,0,0
42,1994,8,27,--,--,--,--,--,--,--,--,--,--,35
43,1995,0,1,2,0,--,--,--,--,--,--,--,0,3
44,1996,2,16,0,--,--,--,--,--,--,--,--,--,18
45,1997,0,0,--,--,--,--,--,--,--,--,--,0,0
46,1998,32,0,6,0,--,--,--,--,--,--,--,0,38
47,1999,--,1,0,--,--,--,--,--,--,--,--,--,1
48,2000,0,0,--,--,--,--,--,--,--,--,--,--,0
49,2001,12,0,0,--,--,--,--,--,--,--,--,0,12
50,2002,0,0,--,--,--,--,--,--,--,--,--,3,0
51,2003,0,0,--,--,--,--,--,--,--,--,--,0,3
52,2004,0,--,0,--,--,--,--,--,--,--,--,3,0
53,2005,0,1,2,--,--,--,--,--,--,--,--,--,6
54,2006,10,2,--,--,--,--,--,--,--,--,--,--,12
55,2007,--,--,--,--,--,--,--,--,--,--,--,--,--
56,2008,--,4,--,--,--,--,--,--,--,--,--,--,4
57,2009,--,--,--,--,--,--,--,--,--,--,--,--,--
58,2010,--,2,--,--,--,--,--,--,--,--,--,--,2
59,2011,--,2,--,--,--,--,--,--,--,--,--,--,2
60,2012,4,2,--,--,--,--,--,--,--,--,--,--,6
61,2013,8,--,--,--,--,--,--,--,--,--,--,--,8
62,2014,--,49,--,--,--,--,--,--,--,--,--,--,49
63,2015,3,--,--,--,--,--,--,--,--,--,--,--,3
64,2016,6,--,--,--,--,--,--,--,--,--,--,--,6
65,2017,--,--,--,--,--,--,×,,,,,,×
