,觀測時間,溫度(°C>>°F),天氣,風向,風力(m/s) | (級),陣風(m/s) | (級),能見度(公里),相對溼度(%),海平面氣壓(百帕),當日累積雨量(毫米),日照時數(小時)
0,09/08 00:50,28.6,X,北,0.6 | 1,-,-,83,1010.1,0.0,0.0
1,09/08 00:40,28.5,X,北北西,1.6 | 2,-,-,83,1010.0,0.0,0.0
2,09/08 00:30,28.5,X,北北西,0.7 | 1,-,-,83,1010.1,0.0,0.0
3,09/08 00:20,28.5,X,北,0.5 | 1,-,-,83,1009.9,0.0,0.0
4,09/08 00:10,28.5,X,北北西,1.1 | 1,-,-,84,1010.1,0.0,0.0
5,09/08 00:00,28.6,X,北,1.0 | 1,-,-,84,1010.1,0.0,8.6
6,09/07 23:50,28.6,陰,北北東,1.2 | 1,-,12.0,84,1010.3,0.0,8.6
7,09/07 23:40,28.6,陰,北北東,1.3 | 1,-,12.0,84,1010.5,0.0,8.6
8,09/07 23:30,28.5,陰,北北東,1.3 | 1,-,12.0,84,1010.4,0.0,8.6
9,09/07 23:20,28.5,陰,北,1.6 | 2,-,12.0,84,1010.4,0.0,8.6
10,09/07 23:10,28.4,陰,北,1.5 | 1,-,12.0,84,1010.4,0.0,8.6
11,09/07 23:00,28.4,陰,北,0.5 | 1,-,12.0,85,1010.5,0.0,8.6
12,09/07 22:50,28.5,X,北,1.0 | 1,-,-,85,1010.4,0.0,8.6
13,09/07 22:40,28.3,X,北,2.2 | 2,-,-,85,1010.4,0.0,8.6
14,09/07 22:30,28.4,X,北,2.4 | 2,-,-,85,1010.6,0.0,8.6
15,09/07 22:20,28.5,X,北,1.6 | 2,-,-,85,1010.5,0.0,8.6
16,09/07 22:10,28.5,X,北,2.1 | 2,-,-,85,1010.2,0.0,8.6
17,09/07 22:00,28.5,X,北,2.0 | 2,-,-,84,1010.2,0.0,8.6
18,09/07 21:50,28.6,陰,北,2.9 | 2,-,-,84,1010.3,0.0,8.6
19,09/07 21:40,28.9,陰,北,2.1 | 2,-,-,83,1010.5,0.0,8.6
20,09/07 21:30,28.8,陰,北,2.7 | 2,-,-,84,1010.3,0.0,8.6
21,09/07 21:20,28.8,陰,北,2.3 | 2,-,-,84,1010.3,0.0,8.6
22,09/07 21:10,28.8,陰,北,1.9 | 2,-,-,83,1010.4,0.0,8.6
23,09/07 21:00,28.7,陰,北,2.0 | 2,-,-,82,1010.3,0.0,8.6
24,09/07 20:50,28.9,陰,北,3.1 | 2,-,12.0,81,1010.4,0.0,8.6
25,09/07 20:40,29.2,陰,北北東,1.1 | 1,-,12.0,82,1010.2,0.0,8.6
26,09/07 20:30,29.4,陰,東,1.6 | 2,-,12.0,83,1010.1,0.0,8.6
27,09/07 20:20,29.5,陰,東,2.5 | 2,-,12.0,82,1009.9,0.0,8.6
28,09/07 20:10,29.5,陰,東,2.7 | 2,-,12.0,82,1009.9,0.0,8.6
29,09/07 20:00,29.4,陰,東南東,2.0 | 2,-,12.0,82,1009.9,0.0,8.6
