,觀測時間,溫度(°C>>°F),天氣,風向,風力(m/s) | (級),陣風(m/s) | (級),能見度(公里),相對溼度(%),海平面氣壓(百帕),當日累積雨量(毫米),日照時數(小時)
0,09/16 00:50,27.5,X,西南西,3.2 | 2,-,-,73,1008.0,0.0,0.0
1,09/16 00:40,27.5,X,西南西,3.0 | 2,-,-,74,1008.1,0.0,0.0
2,09/16 00:30,27.2,X,西南西,3.1 | 2,-,-,79,1008.0,0.0,0.0
3,09/16 00:20,27.3,X,西南西,2.1 | 2,-,-,82,1008.0,0.0,0.0
4,09/16 00:10,27.4,X,西南,1.4 | 1,-,-,81,1007.9,0.0,0.0
5,09/16 00:00,27.6,X,西南,2.0 | 2,-,-,74,1008.1,0.0,9.0
6,09/15 23:50,27.7,晴,西南,1.5 | 1,-,12.0,73,1008.0,0.0,9.0
7,09/15 23:40,27.8,晴,西南西,0.8 | 1,-,12.0,76,1008.0,0.0,9.0
8,09/15 23:30,27.8,晴,西,1.1 | 1,-,12.0,77,1007.9,0.0,9.0
9,09/15 23:20,28.0,晴,西南西,1.8 | 2,-,12.0,75,1008.0,0.0,9.0
10,09/15 23:10,27.8,晴,西南西,2.4 | 2,-,12.0,77,1007.7,0.0,9.0
11,09/15 23:00,27.8,晴,西南,2.0 | 2,-,12.0,79,1007.9,0.0,9.0
12,09/15 22:50,28.1,X,西南,1.5 | 1,-,-,79,1007.8,0.0,9.0
13,09/15 22:40,28.4,X,西南西,1.5 | 1,-,-,78,1007.8,0.0,9.0
14,09/15 22:30,28.5,X,西南西,2.2 | 2,-,-,77,1007.9,0.0,9.0
15,09/15 22:20,28.3,X,西南西,2.6 | 2,-,-,77,1007.8,0.0,9.0
16,09/15 22:10,28.1,X,西南西,2.8 | 2,-,-,79,1007.8,0.0,9.0
17,09/15 22:00,28.2,X,西南,2.5 | 2,-,-,80,1007.8,0.0,9.0
18,09/15 21:50,28.3,X,西南,2.0 | 2,-,-,79,1007.6,0.0,9.0
19,09/15 21:40,28.3,X,南南西,1.1 | 1,-,-,78,1007.7,0.0,9.0
20,09/15 21:30,28.6,X,南南西,1.2 | 1,-,-,77,1007.8,0.0,9.0
21,09/15 21:20,28.6,X,靜風,0.2 | 0,-,-,78,1007.9,0.0,9.0
22,09/15 21:10,28.7,X,南南西,0.3 | 1,-,-,79,1007.8,0.0,9.0
23,09/15 21:00,28.9,X,西南,0.5 | 1,-,-,77,1007.8,0.0,9.0
24,09/15 20:50,28.9,晴,南南西,1.1 | 1,-,15.0,77,1007.7,0.0,9.0
25,09/15 20:40,29.1,晴,南,0.4 | 1,-,15.0,76,1007.4,0.0,9.0
26,09/15 20:30,29.0,晴,南南西,2.0 | 2,-,15.0,76,1007.5,0.0,9.0
27,09/15 20:20,29.1,晴,西南,1.9 | 2,-,15.0,76,1007.5,0.0,9.0
28,09/15 20:10,29.2,晴,西南,1.2 | 1,-,15.0,76,1007.5,0.0,9.0
29,09/15 20:00,29.4,晴,西南,1.0 | 1,-,15.0,75,1007.4,0.0,9.0
30,09/15 19:50,29.3,X,西南,1.2 | 1,-,-,75,1007.3,0.0,9.0
31,09/15 19:40,29.4,X,南南西,1.4 | 1,-,-,75,1007.0,0.0,9.0
32,09/15 19:30,29.5,X,南南西,1.4 | 1,-,-,75,1006.8,0.0,9.0
33,09/15 19:20,29.5,X,西南,1.8 | 2,-,-,75,1006.8,0.0,9.0
34,09/15 19:10,29.5,X,南南西,2.4 | 2,-,-,74,1006.7,0.0,9.0
35,09/15 19:00,29.4,X,南南西,1.5 | 1,-,-,75,1006.8,0.0,9.0
36,09/15 18:50,29.6,X,西南,1.9 | 2,-,-,73,1006.6,0.0,9.0
37,09/15 18:40,29.7,X,西南,2.1 | 2,-,-,71,1006.6,0.0,9.0
38,09/15 18:30,29.6,X,西南,1.9 | 2,-,-,72,1006.5,0.0,9.0
39,09/15 18:20,29.7,X,南南西,2.2 | 2,-,-,72,1006.5,0.0,9.0
40,09/15 18:10,29.8,X,南南西,2.4 | 2,-,-,72,1006.3,0.0,9.0
41,09/15 18:00,29.9,X,南南西,2.5 | 2,-,-,72,1006.1,0.0,9.0
42,09/15 17:50,29.8,多雲,南南西,2.7 | 2,-,15.0,73,1006.0,0.0,9.0
43,09/15 17:40,29.8,多雲,南,3.4 | 3,-,15.0,74,1006.1,0.0,9.0
44,09/15 17:30,29.6,多雲,南,3.8 | 3,-,15.0,78,1005.9,0.0,9.0
45,09/15 17:20,29.8,多雲,南,4.4 | 3,-,15.0,76,1006.0,0.0,9.0
46,09/15 17:10,29.8,多雲,南,4.4 | 3,-,15.0,79,1006.0,0.0,9.0
47,09/15 17:00,29.9,多雲,南,2.5 | 2,-,15.0,78,1005.8,0.0,8.8
48,09/15 16:50,30.0,晴,南,4.2 | 3,-,-,76,1005.8,0.0,8.8
49,09/15 16:40,30.0,晴,南,4.8 | 3,-,-,77,1005.7,0.0,8.7
50,09/15 16:30,30.1,晴,南,3.6 | 3,-,-,76,1005.6,0.0,8.6
51,09/15 16:20,30.0,晴,南,4.2 | 3,-,-,76,1005.5,0.0,8.6
52,09/15 16:10,30.5,晴,南,4.2 | 3,-,-,75,1005.4,0.0,8.6
53,09/15 16:00,30.4,晴,南南東,4.0 | 3,-,-,77,1005.3,0.0,8.4
54,09/15 15:50,30.2,晴,南南東,5.5 | 4,-,-,79,1005.1,0.0,8.3
55,09/15 15:40,30.6,晴,南南東,4.9 | 3,-,-,78,1005.0,0.0,8.2
56,09/15 15:30,30.3,晴,南,4.7 | 3,-,-,79,1005.1,0.0,8.0
57,09/15 15:20,30.5,晴,南,3.8 | 3,-,-,79,1005.0,0.0,7.9
58,09/15 15:10,30.2,晴,南,3.0 | 2,-,-,78,1005.0,0.0,7.7
59,09/15 15:00,30.1,晴,南,3.0 | 2,-,-,78,1004.9,0.0,7.7
60,09/15 14:50,30.4,晴,南,3.8 | 3,-,20.0,78,1004.9,0.0,7.7
61,09/15 14:40,30.5,晴,南,4.0 | 3,-,20.0,77,1005.1,0.0,7.7
62,09/15 14:30,31.4,晴,南,4.0 | 3,-,20.0,78,1005.0,0.0,7.7
63,09/15 14:20,31.2,晴,南,3.3 | 2,-,20.0,76,1005.1,0.0,7.5
64,09/15 14:10,31.3,晴,南,3.6 | 3,-,20.0,74,1005.2,0.0,7.3
65,09/15 14:00,31.1,晴,南,3.5 | 3,-,20.0,76,1005.1,0.0,7.2
66,09/15 13:50,31.1,晴,南,2.1 | 2,-,-,77,1005.0,0.0,7.0
67,09/15 13:40,31.2,晴,南,2.5 | 2,-,-,76,1005.2,0.0,6.8
68,09/15 13:30,30.5,晴,南,2.4 | 2,-,-,77,1005.3,0.0,6.7
69,09/15 13:20,30.0,晴,南,2.4 | 2,-,-,76,1005.5,0.0,6.6
70,09/15 13:10,30.0,晴,南南東,2.5 | 2,-,-,75,1005.6,0.0,6.6
71,09/15 13:00,30.2,晴,南南東,2.0 | 2,-,-,74,1005.7,0.0,6.5
72,09/15 12:50,30.4,晴,東南,1.6 | 2,-,-,73,1005.8,0.0,6.5
73,09/15 12:40,30.7,晴,東南,1.6 | 2,-,-,71,1006.1,0.0,6.4
74,09/15 12:30,30.7,晴,東南,2.1 | 2,-,-,70,1006.1,0.0,6.4
75,09/15 12:20,30.9,晴,東南東,1.8 | 2,-,-,69,1006.2,0.0,6.2
76,09/15 12:10,31.2,晴,東南東,1.8 | 2,-,-,69,1006.4,0.0,6.0
77,09/15 12:00,31.0,晴,東南東,1.5 | 1,-,-,69,1006.6,0.0,5.9
78,09/15 11:50,30.9,晴,東南東,1.5 | 1,-,20.0,67,1006.6,0.0,5.7
79,09/15 11:40,30.6,晴,東南東,1.5 | 1,-,20.0,67,1006.5,0.0,5.5
80,09/15 11:30,31.2,晴,東南東,1.6 | 2,-,20.0,66,1006.6,0.0,5.4
81,09/15 11:20,30.9,晴,東南東,1.8 | 2,-,20.0,68,1006.9,0.0,5.2
82,09/15 11:10,31.0,晴,東南東,1.7 | 2,-,20.0,69,1007.1,0.0,5.0
83,09/15 11:00,30.8,晴,東南東,1.5 | 1,-,20.0,68,1007.0,0.0,4.9
84,09/15 10:50,30.8,晴,東,1.6 | 2,-,-,68,1007.0,0.0,4.7
85,09/15 10:40,30.7,晴,東南東,1.9 | 2,-,-,68,1007.1,0.0,4.5
86,09/15 10:30,30.6,晴,東南東,2.2 | 2,-,-,67,1007.2,0.0,4.4
87,09/15 10:20,30.7,晴,東,1.9 | 2,-,-,65,1007.2,0.0,4.2
88,09/15 10:10,30.7,晴,東南東,2.5 | 2,-,-,66,1007.0,0.0,4.0
89,09/15 10:00,30.8,晴,東南東,2.0 | 2,-,-,66,1007.0,0.0,3.9
90,09/15 09:50,30.7,晴,東南東,2.5 | 2,-,25.0,66,1006.8,0.0,3.7
91,09/15 09:40,30.9,晴,東,2.2 | 2,-,25.0,65,1006.7,0.0,3.5
92,09/15 09:30,31.1,晴,東南東,1.6 | 2,-,25.0,66,1006.6,0.0,3.4
93,09/15 09:20,30.8,晴,東南,1.6 | 2,-,25.0,66,1006.7,0.0,3.2
94,09/15 09:10,31.0,晴,南南東,1.7 | 2,-,25.0,66,1006.9,0.0,3.0
95,09/15 09:00,30.9,晴,南南東,1.0 | 1,-,25.0,65,1006.7,0.0,2.9
96,09/15 08:50,30.5,晴,南,0.8 | 1,-,25.0,65,1006.8,0.0,2.7
97,09/15 08:40,30.5,晴,南南西,0.6 | 1,-,25.0,66,1006.9,0.0,2.5
98,09/15 08:30,30.2,晴,南南西,1.6 | 2,-,25.0,68,1007.0,0.0,2.4
99,09/15 08:20,30.1,晴,西南西,0.5 | 1,-,25.0,66,1007.1,0.0,2.2
100,09/15 08:10,29.8,晴,西南西,1.1 | 1,-,25.0,67,1007.0,0.0,2.0
101,09/15 08:00,29.4,晴,西南西,1.5 | 1,-,25.0,69,1007.1,0.0,1.9
102,09/15 07:50,28.6,X,西南,2.1 | 2,-,-,73,1007.1,0.0,1.7
103,09/15 07:40,28.5,X,西南,2.5 | 2,-,-,72,1007.1,0.0,1.5
104,09/15 07:30,28.3,X,西南西,2.3 | 2,-,-,71,1007.1,0.0,1.4
105,09/15 07:20,27.7,X,西南,2.3 | 2,-,-,74,1007.2,0.0,1.2
106,09/15 07:10,27.1,X,西南,1.1 | 1,-,-,74,1006.9,0.0,1.0
107,09/15 07:00,27.2,X,西南西,0.5 | 1,-,-,74,1007.0,0.0,0.9
108,09/15 06:50,26.5,X,西南西,0.4 | 1,-,-,76,1006.8,0.0,0.7
109,09/15 06:40,26.3,X,靜風,0.0 | 0,-,-,77,1006.8,0.0,0.5
110,09/15 06:30,25.9,X,靜風,0.0 | 0,-,-,79,1006.6,0.0,0.4
111,09/15 06:20,25.8,X,西,1.2 | 1,-,-,77,1006.5,0.0,0.2
112,09/15 06:10,25.8,X,西南西,1.9 | 2,-,-,78,1006.5,0.0,0.1
113,09/15 06:00,25.7,X,西南西,1.5 | 1,-,-,79,1006.4,0.0,0.0
114,09/15 05:50,25.8,晴,西南,0.4 | 1,-,15.0,78,1006.4,0.0,0.0
115,09/15 05:40,26.1,晴,靜風,0.0 | 0,-,15.0,78,1006.2,0.0,0.0
116,09/15 05:30,26.6,晴,靜風,0.0 | 0,-,15.0,75,1006.1,0.0,0.0
117,09/15 05:20,26.8,晴,靜風,0.0 | 0,-,15.0,73,1006.0,0.0,0.0
118,09/15 05:10,26.8,晴,靜風,0.0 | 0,-,15.0,72,1006.1,0.0,0.0
119,09/15 05:00,26.6,晴,西,0.5 | 1,-,15.0,72,1006.1,0.0,0.0
120,09/15 04:50,26.4,X,西南西,1.8 | 2,-,-,74,1005.8,0.0,0.0
121,09/15 04:40,26.6,X,西,1.7 | 2,-,-,72,1006.1,0.0,0.0
122,09/15 04:30,26.6,X,西南西,1.6 | 2,-,-,72,1006.1,0.0,0.0
123,09/15 04:20,26.5,X,西南西,1.1 | 1,-,-,74,1006.1,0.0,0.0
124,09/15 04:10,26.5,X,西南西,1.8 | 2,-,-,74,1006.0,0.0,0.0
125,09/15 04:00,26.7,X,西南西,2.5 | 2,-,-,73,1006.0,0.0,0.0
126,09/15 03:50,26.8,X,西南西,2.1 | 2,-,-,72,1005.9,0.0,0.0
127,09/15 03:40,26.6,X,西南西,2.1 | 2,-,-,72,1005.9,0.0,0.0
128,09/15 03:30,26.7,X,西南,2.2 | 2,-,-,73,1005.8,0.0,0.0
129,09/15 03:20,27.1,X,西南西,2.3 | 2,-,-,72,1005.8,0.0,0.0
