,觀測時間,溫度(°C>>°F),天氣,風向,風力(m/s) | (級),陣風(m/s) | (級),能見度(公里),相對溼度(%),海平面氣壓(百帕),當日累積雨量(毫米),日照時數(小時)
0,08/21 00:50,29.2,X,西北,1.8 | 2,-,-,71,1005.3,0.0,0.0
1,08/21 00:40,29.2,X,西北,1.9 | 2,-,-,72,1005.4,0.0,0.0
2,08/21 00:30,29.4,X,北北西,0.6 | 1,-,-,73,1005.7,0.0,0.0
3,08/21 00:20,29.4,X,北,0.3 | 1,-,-,73,1005.9,0.0,0.0
4,08/21 00:10,29.6,X,北,1.1 | 1,-,-,72,1006.1,0.0,0.0
5,08/21 00:00,29.6,X,北,1.5 | 1,-,-,73,1006.3,0.0,9.3
6,08/20 23:50,29.5,陰,北,1.7 | 2,-,15.0,74,1006.4,0.0,9.3
7,08/20 23:40,29.6,陰,北北東,1.3 | 1,-,15.0,74,1006.5,0.0,9.3
8,08/20 23:30,29.6,陰,北,1.4 | 1,-,15.0,74,1006.6,0.0,9.3
9,08/20 23:20,29.7,陰,北北東,1.8 | 2,-,15.0,73,1006.9,0.0,9.3
10,08/20 23:10,29.8,陰,北,2.2 | 2,-,15.0,73,1006.9,0.0,9.3
11,08/20 23:00,29.8,陰,北北東,1.5 | 1,-,15.0,73,1007.0,0.0,9.3
12,08/20 22:50,29.9,X,北北東,1.9 | 2,-,-,73,1007.0,0.0,9.3
13,08/20 22:40,29.9,X,北北東,2.2 | 2,-,-,73,1006.9,0.0,9.3
14,08/20 22:30,29.9,X,北,1.5 | 1,-,-,72,1006.9,0.0,9.3
15,08/20 22:20,29.8,X,北,2.2 | 2,-,-,73,1006.7,0.0,9.3
16,08/20 22:10,29.9,X,北,1.8 | 2,-,-,72,1006.7,0.0,9.3
17,08/20 22:00,29.8,X,北,2.5 | 2,-,-,72,1006.5,0.0,9.3
18,08/20 21:50,29.9,X,北北東,2.3 | 2,-,-,71,1006.6,0.0,9.3
19,08/20 21:40,29.8,X,北,1.3 | 1,-,-,72,1006.7,0.0,9.3
20,08/20 21:30,29.8,X,北,2.2 | 2,-,-,72,1006.5,0.0,9.3
21,08/20 21:20,29.8,X,北,1.9 | 2,-,-,72,1006.4,0.0,9.3
22,08/20 21:10,29.8,X,北,1.8 | 2,-,-,72,1006.5,0.0,9.3
23,08/20 21:00,29.7,X,北,1.5 | 1,-,-,72,1006.6,0.0,9.3
24,08/20 20:50,29.9,陰,北,1.4 | 1,-,15.0,71,1006.6,0.0,9.3
25,08/20 20:40,29.8,陰,北,2.2 | 2,-,15.0,71,1006.3,0.0,9.3
26,08/20 20:30,29.8,陰,北北東,2.5 | 2,-,15.0,71,1006.4,0.0,9.3
27,08/20 20:20,29.8,陰,北北東,2.1 | 2,-,15.0,71,1006.3,0.0,9.3
28,08/20 20:10,29.9,陰,北北東,2.5 | 2,-,15.0,71,1006.3,0.0,9.3
29,08/20 20:00,30.0,陰,北北東,2.0 | 2,-,15.0,69,1006.3,0.0,9.3
