,觀測時間,溫度(°C>>°F),天氣,風向,風力(m/s) | (級),陣風(m/s) | (級),能見度(公里),相對溼度(%),海平面氣壓(百帕),當日累積雨量(毫米),日照時數(小時)
0,09/01 00:50,26.8,X,儀器調校中,儀器調校中,-,-,86,1006.9,1.5,0.0
1,09/01 00:40,26.8,X,儀器調校中,儀器調校中,-,-,85,1006.9,1.5,0.0
2,09/01 00:30,26.8,X,儀器調校中,儀器調校中,-,-,85,1007.0,1.5,0.0
3,09/01 00:20,26.7,X,儀器調校中,儀器調校中,-,-,86,1007.0,1.5,0.0
4,09/01 00:10,26.7,X,儀器調校中,儀器調校中,-,-,85,1007.1,1.0,0.0
5,09/01 00:00,27.2,X,儀器調校中,儀器調校中,-,-,83,1007.5,2.5,2.0
6,08/31 23:50,27.2,陰有雨,儀器調校中,儀器調校中,-,8.0,82,1007.4,2.5,2.0
7,08/31 23:40,27.1,陰有雨,儀器調校中,儀器調校中,-,8.0,84,1007.5,2.5,2.0
8,08/31 23:30,26.8,陰有雨,儀器調校中,儀器調校中,-,8.0,86,1007.5,2.5,2.0
9,08/31 23:20,26.7,陰有雨,儀器調校中,儀器調校中,-,8.0,87,1007.4,2.5,2.0
10,08/31 23:10,26.7,陰有雨,儀器調校中,儀器調校中,-,8.0,87,1007.3,2.5,2.0
11,08/31 23:00,26.9,陰有雨,儀器調校中,儀器調校中,-,8.0,87,1007.3,2.5,2.0
12,08/31 22:50,26.8,X,儀器調校中,儀器調校中,-,-,87,1007.5,2.5,2.0
13,08/31 22:40,26.6,X,儀器調校中,儀器調校中,-,-,87,1007.5,2.5,2.0
14,08/31 22:30,26.3,X,儀器調校中,儀器調校中,-,-,88,1007.8,2.5,2.0
15,08/31 22:20,26.6,X,儀器調校中,儀器調校中,-,-,86,1007.6,2.5,2.0
16,08/31 22:10,27.3,X,儀器調校中,儀器調校中,-,-,82,1007.6,1.5,2.0
17,08/31 22:00,28.3,X,儀器調校中,儀器調校中,-,-,79,1007.6,0.0,2.0
18,08/31 21:50,28.6,多雲,儀器調校中,儀器調校中,-,-,80,1007.5,0.0,2.0
19,08/31 21:40,28.5,多雲,儀器調校中,儀器調校中,-,-,80,1007.7,0.0,2.0
20,08/31 21:30,28.6,多雲,儀器調校中,儀器調校中,-,-,80,1007.8,0.0,2.0
21,08/31 21:20,28.5,多雲,儀器調校中,儀器調校中,-,-,80,1007.7,0.0,2.0
22,08/31 21:10,28.7,多雲,儀器調校中,儀器調校中,-,-,79,1007.9,0.0,2.0
23,08/31 21:00,28.6,多雲,儀器調校中,儀器調校中,-,-,80,1007.9,0.0,2.0
24,08/31 20:50,28.6,多雲,儀器調校中,儀器調校中,-,10.0,80,1007.8,0.0,2.0
25,08/31 20:40,28.7,多雲,儀器調校中,儀器調校中,-,10.0,80,1007.6,0.0,2.0
26,08/31 20:30,28.6,多雲,儀器調校中,儀器調校中,-,10.0,80,1007.8,0.0,2.0
27,08/31 20:20,28.6,多雲,儀器調校中,儀器調校中,-,10.0,80,1007.7,0.0,2.0
28,08/31 20:10,28.6,多雲,儀器調校中,儀器調校中,-,10.0,81,1007.6,0.0,2.0
29,08/31 20:00,28.7,多雲,儀器調校中,儀器調校中,-,10.0,81,1007.3,0.0,2.0
