,觀測時間,溫度(°C>>°F),天氣,風向,風力(m/s) | (級),陣風(m/s) | (級),能見度(公里),相對溼度(%),海平面氣壓(百帕),當日累積雨量(毫米),日照時數(小時)
0,09/02 00:00,25.4,-,東,0.6 | 1,-,-,99,-,22.5,-
1,09/01 23:00,25.4,-,東北東,0.9 | 1,-,-,99,-,22.5,-
2,09/01 22:00,25.7,-,靜風,0.0 | 0,-,-,99,-,22.5,-
3,09/01 21:00,26.1,-,靜風,0.0 | 0,-,-,96,-,22.0,-
4,09/01 20:00,26.2,-,東南東,0.8 | 1,-,-,96,-,21.0,-
5,09/01 19:00,26.6,-,靜風,0.0 | 0,-,-,91,-,21.0,-
6,09/01 18:00,27.2,-,東北,0.8 | 1,-,-,86,-,21.0,-
7,09/01 17:00,27.8,-,北北東,1.1 | 1,-,-,84,-,21.0,-
8,09/01 16:00,28.3,-,北北東,0.7 | 1,-,-,82,-,21.0,-
9,09/01 15:00,28.1,-,西,0.7 | 1,-,-,83,-,21.0,-
10,09/01 14:00,28.2,-,南南東,0.8 | 1,-,-,81,-,21.0,-
11,09/01 13:00,27.6,-,東,0.7 | 1,-,-,85,-,21.0,-
12,09/01 12:00,27.1,-,東南東,1.0 | 1,-,-,89,-,21.0,-
13,09/01 11:00,26.0,-,靜風,0.0 | 0,-,-,94,-,20.0,-
14,09/01 10:00,25.6,-,西南西,0.3 | 1,-,-,94,-,20.0,-
15,09/01 09:00,24.6,-,北北西,0.7 | 1,-,-,99,-,20.0,-
16,09/01 08:00,24.3,-,靜風,0.2 | 0,-,-,99,-,20.0,-
17,09/01 07:00,24.2,-,靜風,0.0 | 0,-,-,99,-,18.0,-
18,09/01 06:00,24.3,-,東南東,0.4 | 1,-,-,98,-,14.0,-
19,09/01 05:00,24.5,-,北,1.7 | 2,-,-,99,-,13.5,-
20,09/01 04:00,25.1,-,東北,0.3 | 1,-,-,99,-,10.0,-
21,09/01 03:00,-,-,－,-,-,-,-,-,5.5,-
22,09/01 02:00,25.7,-,東南,1.1 | 1,-,-,99,-,2.5,-
23,09/01 01:00,25.7,-,東北,0.4 | 1,-,-,98,-,0.5,-
24,09/01 00:00,25.8,-,東南東,0.6 | 1,-,-,94,-,1.0,-
