,觀測時間,溫度(°C>>°F),天氣,風向,風力(m/s) | (級),陣風(m/s) | (級),能見度(公里),相對溼度(%),海平面氣壓(百帕),當日累積雨量(毫米),日照時數(小時)
0,09/13 00:00,27.6,-,靜風,0.1 | 0,-,-,86,-,0.0,-
1,09/12 23:00,28.3,-,南南東,1.0 | 1,-,-,81,-,0.0,-
2,09/12 22:00,28.7,-,南南東,1.2 | 1,-,-,81,-,0.0,-
3,09/12 21:00,28.8,-,靜風,0.2 | 0,-,-,83,-,0.0,-
4,09/12 20:00,29.3,-,西南,0.5 | 1,-,-,81,-,0.0,-
5,09/12 19:00,29.8,-,西南,0.3 | 1,-,-,77,-,0.0,-
6,09/12 18:00,31.7,-,西北西,0.9 | 1,-,-,63,-,0.0,-
7,09/12 17:00,32.8,-,東南東,1.1 | 1,-,-,60,-,0.0,-
8,09/12 16:00,34.6,-,西,0.9 | 1,-,-,52,-,0.0,-
9,09/12 15:00,33.8,-,北,1.0 | 1,-,-,55,-,0.0,-
10,09/12 14:00,35.1,-,西北西,0.9 | 1,-,-,51,-,0.0,-
11,09/12 13:00,35.2,-,西北西,1.1 | 1,-,-,48,-,0.0,-
12,09/12 12:00,33.5,-,北,1.7 | 2,-,-,56,-,0.0,-
13,09/12 11:00,33.4,-,西北,1.4 | 1,-,-,60,-,0.0,-
14,09/12 10:00,32.3,-,北北西,1.3 | 1,-,-,62,-,0.0,-
15,09/12 09:00,31.4,-,西北,1.1 | 1,-,-,63,-,0.0,-
16,09/12 08:00,29.7,-,北,1.2 | 1,-,-,74,-,0.0,-
17,09/12 07:00,27.2,-,東北,0.3 | 1,-,-,88,-,0.0,-
18,09/12 06:00,26.2,-,東北東,0.9 | 1,-,-,92,-,0.0,-
19,09/12 05:00,26.5,-,北北東,0.8 | 1,-,-,90,-,0.0,-
20,09/12 04:00,25.8,-,東北,0.5 | 1,-,-,89,-,0.0,-
21,09/12 03:00,25.8,-,東北,0.6 | 1,-,-,93,-,0.0,-
22,09/12 02:00,26.0,-,東北東,0.6 | 1,-,-,93,-,0.0,-
23,09/12 01:00,26.4,-,靜風,0.1 | 0,-,-,91,-,0.0,-
24,09/12 00:00,26.6,-,南南西,0.4 | 1,-,-,90,-,0.0,-
