,觀測時間,溫度(°C>>°F),天氣,風向,風力(m/s) | (級),陣風(m/s) | (級),能見度(公里),相對溼度(%),海平面氣壓(百帕),當日累積雨量(毫米),日照時數(小時)
0,08/27 00:00,26.6,-,靜風,0.0 | 0,-,-,97,-,1.5,-
1,08/26 23:00,26.6,-,東北,0.7 | 1,-,-,98,-,1.5,-
2,08/26 22:00,26.9,-,靜風,0.0 | 0,-,-,96,-,1.5,-
3,08/26 21:00,26.9,-,東南,0.3 | 1,-,-,96,-,1.5,-
4,08/26 20:00,27.4,-,靜風,0.0 | 0,-,-,93,-,1.5,-
5,08/26 19:00,27.8,-,靜風,0.1 | 0,-,-,90,-,1.5,-
6,08/26 18:00,29.1,-,靜風,0.1 | 0,-,-,83,-,1.5,-
7,08/26 17:00,29.8,-,西北西,0.6 | 1,-,-,79,-,1.5,-
8,08/26 16:00,30.3,-,南南西,0.3 | 1,-,-,78,-,1.5,-
9,08/26 15:00,30.3,-,西南,1.3 | 1,-,-,82,-,1.5,-
10,08/26 14:00,30.5,-,西,0.5 | 1,-,-,78,-,1.5,-
11,08/26 13:00,29.1,-,北北東,0.3 | 1,-,-,87,-,1.5,-
12,08/26 12:00,28.7,-,東南,0.6 | 1,-,-,90,-,1.5,-
13,08/26 11:00,28.5,-,東南,1.2 | 1,-,-,90,-,1.5,-
14,08/26 10:00,29.5,-,東南,0.6 | 1,-,-,83,-,1.5,-
15,08/26 09:00,29.5,-,西南,0.3 | 1,-,-,81,-,1.5,-
16,08/26 08:00,27.3,-,東北,0.3 | 1,-,-,92,-,1.5,-
17,08/26 07:00,27.0,-,東北東,0.5 | 1,-,-,99,-,1.5,-
18,08/26 06:00,26.3,-,東北,0.9 | 1,-,-,99,-,1.5,-
19,08/26 05:00,26.1,-,靜風,0.0 | 0,-,-,99,-,1.5,-
20,08/26 04:00,26.5,-,靜風,0.2 | 0,-,-,98,-,1.0,-
21,08/26 03:00,26.7,-,靜風,0.1 | 0,-,-,97,-,0.0,-
22,08/26 02:00,-,-,－,-,-,-,-,-,0.0,-
23,08/26 01:00,27.4,-,東南東,0.4 | 1,-,-,93,-,0.0,-
24,08/26 00:00,27.1,-,西,0.5 | 1,-,-,92,-,0.5,-
