,觀測時間,溫度(°C>>°F),天氣,風向,風力(m/s) | (級),陣風(m/s) | (級),能見度(公里),相對溼度(%),海平面氣壓(百帕),當日累積雨量(毫米),日照時數(小時)
0,08/31 00:00,26.6,-,北,0.3 | 1,-,-,93,-,0.0,-
1,08/30 23:00,26.9,-,東,0.5 | 1,-,-,92,-,0.0,-
2,08/30 22:00,26.8,-,東北,0.4 | 1,-,-,90,-,0.0,-
3,08/30 21:00,27.0,-,北,0.5 | 1,-,-,86,-,0.0,-
4,08/30 20:00,27.1,-,靜風,0.2 | 0,-,-,88,-,0.0,-
5,08/30 19:00,27.3,-,東,1.0 | 1,-,-,87,-,0.0,-
6,08/30 18:00,28.2,-,東,0.3 | 1,-,-,77,-,0.0,-
7,08/30 17:00,28.8,-,東南東,0.5 | 1,-,-,75,-,0.0,-
8,08/30 16:00,30.0,-,西北,1.2 | 1,-,-,77,-,0.0,-
9,08/30 15:00,30.4,-,西南,0.3 | 1,-,-,77,-,0.0,-
10,08/30 14:00,31.9,-,西南西,0.4 | 1,-,-,65,-,0.0,-
11,08/30 13:00,33.0,-,西南,0.8 | 1,-,-,59,-,0.0,-
12,08/30 12:00,34.2,-,西,0.4 | 1,-,-,52,-,0.0,-
13,08/30 11:00,33.8,-,南南東,0.8 | 1,-,-,54,-,0.0,-
14,08/30 10:00,33.7,-,西南西,0.6 | 1,-,-,56,-,0.0,-
15,08/30 09:00,31.9,-,東北東,0.7 | 1,-,-,64,-,0.0,-
16,08/30 08:00,30.0,-,南南東,0.7 | 1,-,-,73,-,0.0,-
17,08/30 07:00,26.5,-,東北,0.7 | 1,-,-,90,-,0.0,-
18,08/30 06:00,25.9,-,北北東,0.6 | 1,-,-,94,-,0.0,-
19,08/30 05:00,25.8,-,東北,0.8 | 1,-,-,96,-,0.0,-
20,08/30 04:00,26.3,-,東北東,0.8 | 1,-,-,94,-,0.0,-
21,08/30 03:00,26.8,-,靜風,0.1 | 0,-,-,96,-,0.0,-
22,08/30 02:00,26.5,-,靜風,0.1 | 0,-,-,96,-,0.0,-
23,08/30 01:00,26.6,-,東北東,1.0 | 1,-,-,96,-,0.0,-
24,08/30 00:00,26.9,-,靜風,0.0 | 0,-,-,94,-,0.0,-
