,觀測時間,溫度(°C>>°F),天氣,風向,風力(m/s) | (級),陣風(m/s) | (級),能見度(公里),相對溼度(%),海平面氣壓(百帕),當日累積雨量(毫米),日照時數(小時)
0,08/30 00:50,29.1,X,南南東,1.1 | 1,-,-,81,1008.0,0.0,0.0
1,08/30 00:40,29.3,X,南南東,2.0 | 2,-,-,80,1008.1,0.0,0.0
2,08/30 00:30,29.2,X,南,1.6 | 2,-,-,81,1008.3,0.0,0.0
3,08/30 00:20,29.2,X,南,1.9 | 2,-,-,81,1008.3,0.0,0.0
4,08/30 00:10,29.4,X,南南西,1.7 | 2,-,-,80,1008.3,0.0,0.0
5,08/30 00:00,29.6,X,南,1.5 | 1,-,-,78,1008.2,0.0,7.2
6,08/29 23:50,29.8,晴,南,1.6 | 2,-,12.0,77,1008.4,0.0,7.2
7,08/29 23:40,29.8,晴,南,2.1 | 2,-,12.0,76,1008.2,0.0,7.2
8,08/29 23:30,29.8,晴,南,1.2 | 1,-,12.0,75,1008.1,0.0,7.2
9,08/29 23:20,29.5,晴,南南東,0.9 | 1,-,12.0,76,1008.1,0.0,7.2
10,08/29 23:10,29.9,晴,南,1.3 | 1,-,12.0,75,1008.0,0.0,7.2
11,08/29 23:00,29.7,晴,東南,0.5 | 1,-,12.0,75,1008.0,0.0,7.2
12,08/29 22:50,29.8,X,東南,0.8 | 1,-,-,75,1008.1,0.0,7.2
13,08/29 22:40,29.9,X,東南,0.7 | 1,-,-,74,1008.1,0.0,7.2
14,08/29 22:30,29.7,X,東南,0.8 | 1,-,-,74,1008.1,0.0,7.2
15,08/29 22:20,29.3,X,東南,0.5 | 1,-,-,76,1008.1,0.0,7.2
16,08/29 22:10,29.5,X,東,0.8 | 1,-,-,75,1008.3,0.0,7.2
17,08/29 22:00,29.7,X,東南東,0.5 | 1,-,-,74,1008.3,0.0,7.2
18,08/29 21:50,29.8,晴,東南東,0.3 | 1,-,-,73,1008.2,0.0,7.2
19,08/29 21:40,30.0,晴,東,0.4 | 1,-,-,72,1008.0,0.0,7.2
20,08/29 21:30,30.0,晴,東南東,0.4 | 1,-,-,72,1008.0,0.0,7.2
21,08/29 21:20,30.0,晴,東南,0.6 | 1,-,-,73,1007.9,0.0,7.2
22,08/29 21:10,30.1,晴,南南東,0.6 | 1,-,-,72,1007.9,0.0,7.2
23,08/29 21:00,30.1,晴,東南,0.5 | 1,-,-,72,1007.9,0.0,7.2
24,08/29 20:50,30.3,晴,南南東,0.7 | 1,-,12.0,72,1007.7,0.0,7.2
25,08/29 20:40,30.5,晴,南南東,0.9 | 1,-,12.0,72,1007.6,0.0,7.2
26,08/29 20:30,30.8,晴,南,1.7 | 2,-,12.0,72,1007.7,0.0,7.2
27,08/29 20:20,31.0,晴,南,1.8 | 2,-,12.0,73,1007.4,0.0,7.2
28,08/29 20:10,31.0,晴,南,1.9 | 2,-,12.0,73,1007.4,0.0,7.2
29,08/29 20:00,31.3,晴,南,1.5 | 1,-,12.0,70,1007.1,0.0,7.2
30,08/29 19:50,31.4,X,南,2.4 | 2,-,-,69,1007.0,0.0,7.2
31,08/29 19:40,31.2,X,南,1.9 | 2,-,-,70,1007.0,0.0,7.2
32,08/29 19:30,31.3,X,南南西,1.5 | 1,-,-,70,1006.7,0.0,7.2
33,08/29 19:20,31.3,X,南南西,1.1 | 1,-,-,70,1006.6,0.0,7.2
34,08/29 19:10,31.6,X,南南西,1.0 | 1,-,-,69,1006.5,0.0,7.2
35,08/29 19:00,31.4,X,南南西,1.0 | 1,-,-,71,1006.4,0.0,7.2
36,08/29 18:50,31.5,X,南南西,0.9 | 1,-,-,70,1006.4,0.0,7.2
37,08/29 18:40,31.7,X,南南西,1.4 | 1,-,-,69,1006.2,0.0,7.2
