,觀測時間,溫度(°C>>°F),天氣,風向,風力(m/s) | (級),陣風(m/s) | (級),能見度(公里),相對溼度(%),海平面氣壓(百帕),當日累積雨量(毫米),日照時數(小時)
0,08/11 00:50,29.8,X,南南西,2.8 | 2,-,-,76,1009.3,0.0,0.0
1,08/11 00:40,29.8,X,南南西,2.6 | 2,-,-,77,1009.3,0.0,0.0
2,08/11 00:30,29.7,X,南南西,2.9 | 2,-,-,77,1009.2,0.0,0.0
3,08/11 00:20,29.7,X,南南西,2.6 | 2,-,-,77,1009.2,0.0,0.0
4,08/11 00:10,29.7,X,南,1.9 | 2,-,-,77,1009.0,0.0,0.0
5,08/11 00:00,29.6,X,南南東,2.0 | 2,-,-,79,1008.9,-,7.2
6,08/10 23:50,29.5,多雲,南南東,2.0 | 2,-,12.0,78,1009.0,-,7.2
7,08/10 23:40,29.6,多雲,南南東,1.7 | 2,-,12.0,78,1009.0,-,7.2
8,08/10 23:30,29.6,多雲,南南東,1.3 | 1,-,12.0,77,1008.8,-,7.2
9,08/10 23:20,29.6,多雲,南南東,2.0 | 2,-,12.0,76,1008.8,-,7.2
10,08/10 23:10,29.6,多雲,東南,1.6 | 2,-,12.0,77,1008.9,-,7.2
11,08/10 23:00,29.5,多雲,東南,1.5 | 1,-,12.0,77,1008.8,-,7.2
12,08/10 22:50,29.6,X,南南東,1.7 | 2,-,-,77,1008.9,-,7.2
13,08/10 22:40,29.6,X,南南東,1.4 | 1,-,-,86,1009.0,-,7.2
14,08/10 22:30,29.6,X,南南東,1.6 | 2,-,-,75,1009.1,-,7.2
15,08/10 22:20,29.6,X,南南東,1.6 | 2,-,-,74,1009.1,-,7.2
16,08/10 22:10,29.8,X,南,1.6 | 2,-,-,73,1008.9,-,7.2
17,08/10 22:00,29.8,X,南南東,1.5 | 1,-,-,73,1008.8,-,7.2
18,08/10 21:50,29.9,X,南南東,1.4 | 1,-,-,73,1008.8,-,7.2
19,08/10 21:40,29.9,X,南南東,1.6 | 2,-,-,73,1008.8,-,7.2
20,08/10 21:30,29.9,X,東南,1.6 | 2,-,-,73,1008.7,-,7.2
21,08/10 21:20,29.9,X,東南,1.8 | 2,-,-,73,1008.5,-,7.2
22,08/10 21:10,30.0,X,東南,1.5 | 1,-,-,72,1008.5,-,7.2
23,08/10 21:00,30.0,X,東南,2.0 | 2,-,-,72,1008.4,-,7.2
24,08/10 20:50,30.1,晴,東南,1.3 | 1,-,15.0,71,1008.3,-,7.2
25,08/10 20:40,30.2,晴,南,0.6 | 1,-,15.0,71,1008.3,-,7.2
26,08/10 20:30,30.3,晴,南南西,1.1 | 1,-,15.0,70,1008.4,-,7.2
27,08/10 20:20,30.3,晴,西南,1.1 | 1,-,15.0,72,1008.4,-,7.2
28,08/10 20:10,30.1,晴,南南西,1.3 | 1,-,15.0,71,1008.5,-,7.2
29,08/10 20:00,30.2,晴,南南西,2.0 | 2,-,15.0,72,1008.4,-,7.2
30,08/10 19:50,30.3,X,南,1.4 | 1,-,-,72,1008.4,-,7.2
31,08/10 19:40,30.4,X,西南,1.1 | 1,-,-,72,1008.6,-,7.2
32,08/10 19:30,30.2,X,西南西,2.6 | 2,-,-,71,1008.7,-,7.2
33,08/10 19:20,30.3,X,西南西,2.5 | 2,-,-,70,1008.7,-,7.2
34,08/10 19:10,30.5,X,西,2.4 | 2,-,-,70,1008.7,-,7.2
35,08/10 19:00,30.7,X,西南,2.0 | 2,-,-,71,1008.6,-,7.2
36,08/10 18:50,30.5,X,西南西,2.0 | 2,-,-,70,1008.4,-,7.2
37,08/10 18:40,30.6,X,南南西,2.2 | 2,-,-,70,1008.3,-,7.2
38,08/10 18:30,30.4,X,西南,2.2 | 2,-,-,70,1008.2,-,7.2
39,08/10 18:20,30.8,X,南南西,3.0 | 2,-,-,68,1008.2,-,7.2
40,08/10 18:10,30.7,X,南南西,3.3 | 2,-,-,70,1008.1,-,7.2
41,08/10 18:00,30.8,X,西南,2.0 | 2,-,-,69,1008.1,-,7.1
42,08/10 17:50,30.9,晴,西南,3.0 | 2,-,15.0,68,1008.0,-,7.0
43,08/10 17:40,31.0,晴,西南,2.8 | 2,-,15.0,67,1008.0,-,6.9
44,08/10 17:30,31.3,晴,西南,2.9 | 2,-,15.0,67,1007.8,-,6.7
45,08/10 17:20,31.5,晴,西南,2.6 | 2,-,15.0,68,1007.7,-,6.6
46,08/10 17:10,31.2,晴,西南西,3.3 | 2,-,15.0,67,1007.6,-,6.4
47,08/10 17:00,31.2,晴,西南西,3.5 | 3,-,15.0,69,1007.5,-,6.2
48,08/10 16:50,32.0,多雲,南南西,1.9 | 2,-,-,69,1007.3,-,6.1
49,08/10 16:40,31.8,多雲,南,3.1 | 2,-,-,67,1007.2,-,5.9
50,08/10 16:30,31.9,多雲,南南西,2.9 | 2,-,-,68,1007.1,-,5.8
51,08/10 16:20,32.0,多雲,南南西,3.3 | 2,-,-,66,1007.0,-,5.6
52,08/10 16:10,31.5,多雲,西南西,2.9 | 2,-,-,68,1007.0,-,5.5
53,08/10 16:00,32.1,多雲,西南,2.0 | 2,-,-,66,1007.0,-,5.3
