,觀測時間,溫度(°C>>°F),天氣,風向,風力(m/s) | (級),陣風(m/s) | (級),能見度(公里),相對溼度(%),海平面氣壓(百帕),當日累積雨量(毫米),日照時數(小時)
0,09/15 00:50,29.0,X,東北東,0.4 | 1,-,-,69,1008.8,0.0,0.0
1,09/15 00:40,29.0,X,靜風,0.0 | 0,-,-,69,1009.0,0.0,0.0
2,09/15 00:30,28.9,X,東南,0.7 | 1,-,-,70,1009.0,0.0,0.0
3,09/15 00:20,28.9,X,南南東,1.1 | 1,-,-,70,1009.0,0.0,0.0
4,09/15 00:10,29.0,X,南南東,1.6 | 2,-,-,69,1009.0,0.0,0.0
5,09/15 00:00,28.9,X,南南東,0.5 | 1,-,-,69,1009.1,0.0,10.0
6,09/14 23:50,28.9,晴,東南東,0.7 | 1,-,10.0,69,1009.1,0.0,10.0
7,09/14 23:40,29.0,晴,東,0.7 | 1,-,10.0,69,1009.0,0.0,10.0
8,09/14 23:30,29.1,晴,靜風,0.0 | 0,-,10.0,68,1009.0,0.0,10.0
9,09/14 23:20,29.1,晴,靜風,0.1 | 0,-,10.0,68,1008.9,0.0,10.0
10,09/14 23:10,28.9,晴,靜風,0.1 | 0,-,10.0,69,1008.9,0.0,10.0
11,09/14 23:00,28.8,晴,東北東,0.5 | 1,-,10.0,69,1009.1,0.0,10.0
12,09/14 22:50,28.8,X,靜風,0.2 | 0,-,-,69,1009.0,0.0,10.0
13,09/14 22:40,28.9,X,北北東,0.8 | 1,-,-,68,1009.0,0.0,10.0
14,09/14 22:30,28.9,X,北,1.9 | 2,-,-,68,1009.0,0.0,10.0
15,09/14 22:20,28.8,X,北,2.3 | 2,-,-,68,1009.0,0.0,10.0
16,09/14 22:10,29.0,X,北,2.4 | 2,-,-,68,1009.1,0.0,10.0
17,09/14 22:00,28.9,X,北北西,0.5 | 1,-,-,69,1009.0,0.0,10.0
18,09/14 21:50,28.9,X,北,1.4 | 1,-,-,68,1009.1,0.0,10.0
19,09/14 21:40,28.9,X,北,1.8 | 2,-,-,68,1009.1,0.0,10.0
20,09/14 21:30,29.0,X,北,2.3 | 2,-,-,68,1009.0,0.0,10.0
21,09/14 21:20,28.9,X,北,2.2 | 2,-,-,69,1008.8,0.0,10.0
22,09/14 21:10,29.0,X,北北西,2.3 | 2,-,-,69,1008.8,0.0,10.0
23,09/14 21:00,29.2,X,北北西,2.5 | 2,-,-,68,1008.5,0.0,10.0
24,09/14 20:50,29.4,晴,北北西,2.9 | 2,-,10.0,67,1008.6,0.0,10.0
25,09/14 20:40,29.8,晴,西北,2.2 | 2,-,10.0,67,1008.5,0.0,10.0
26,09/14 20:30,29.8,晴,北北西,2.3 | 2,-,10.0,66,1008.3,0.0,10.0
27,09/14 20:20,29.9,晴,北北西,2.8 | 2,-,10.0,66,1008.1,0.0,10.0
28,09/14 20:10,30.0,晴,北北西,2.2 | 2,-,10.0,66,1007.9,0.0,10.0
29,09/14 20:00,30.1,晴,北,4.0 | 3,-,10.0,65,1007.7,0.0,10.0
30,09/14 19:50,29.9,X,北,3.8 | 3,-,-,66,1007.7,0.0,10.0
31,09/14 19:40,30.2,X,北,3.5 | 3,-,-,65,1007.6,0.0,10.0
32,09/14 19:30,30.2,X,北北西,2.7 | 2,-,-,66,1007.5,0.0,10.0
33,09/14 19:20,30.4,X,北北西,2.5 | 2,-,-,67,1007.5,0.0,10.0
34,09/14 19:10,30.2,X,西北,2.0 | 2,-,-,69,1007.4,0.0,10.0
35,09/14 19:00,30.2,X,西北西,2.5 | 2,-,-,69,1007.3,0.0,10.0
36,09/14 18:50,30.2,X,西北西,3.2 | 2,-,-,69,1007.2,0.0,10.0
37,09/14 18:40,30.4,X,西北西,2.9 | 2,-,-,68,1006.9,0.0,10.0
38,09/14 18:30,30.5,X,西北,3.2 | 2,-,-,67,1006.8,0.0,10.0
39,09/14 18:20,30.8,X,西北,3.1 | 2,-,-,66,1006.6,0.0,10.0
40,09/14 18:10,30.7,X,西北,3.2 | 2,-,-,65,1006.5,0.0,10.0
41,09/14 18:00,30.8,X,西北,3.5 | 3,-,-,65,1006.4,0.0,10.0
42,09/14 17:50,31.0,多雲,西北,3.6 | 3,-,10.0,64,1006.3,0.0,10.0
43,09/14 17:40,31.1,多雲,西北,3.8 | 3,-,10.0,64,1006.1,0.0,10.0
44,09/14 17:30,31.1,多雲,西北,4.4 | 3,-,10.0,63,1006.0,0.0,10.0
45,09/14 17:20,31.7,多雲,西北西,3.4 | 3,-,10.0,61,1006.0,0.0,10.0
46,09/14 17:10,31.8,多雲,西北,3.2 | 2,-,10.0,61,1005.9,0.0,9.9
47,09/14 17:00,31.9,多雲,西北,4.0 | 3,-,10.0,61,1005.8,0.0,9.7
