,觀測時間,溫度(°C>>°F),天氣,風向,風力(m/s) | (級),陣風(m/s) | (級),能見度(公里),相對溼度(%),海平面氣壓(百帕),當日累積雨量(毫米),日照時數(小時)
0,08/19 00:50,29.8,X,南南東,1.5 | 1,-,-,儀器調校中,1011.6,0.0,0.0
1,08/19 00:40,29.8,X,南南東,1.6 | 2,-,-,儀器調校中,1011.8,0.0,0.0
2,08/19 00:30,29.9,X,南南東,1.6 | 2,-,-,儀器調校中,1012.0,0.0,0.0
3,08/19 00:20,30.0,X,南南東,1.5 | 1,-,-,儀器調校中,1011.9,0.0,0.0
4,08/19 00:10,30.0,X,南南東,1.1 | 1,-,-,儀器調校中,1011.9,0.0,0.0
5,08/19 00:00,29.9,X,南南東,1.0 | 1,-,-,儀器調校中,1012.0,0.0,11.1
6,08/18 23:50,29.9,晴,東南,1.9 | 2,-,20.0,儀器調校中,1012.0,0.0,11.1
7,08/18 23:40,30.2,晴,東南,2.0 | 2,-,20.0,儀器調校中,1012.0,0.0,11.1
8,08/18 23:30,30.2,晴,東南東,1.0 | 1,-,20.0,儀器調校中,1011.9,0.0,11.1
9,08/18 23:20,30.4,晴,東南東,0.6 | 1,-,20.0,儀器調校中,1011.8,0.0,11.1
10,08/18 23:10,30.4,晴,東,0.4 | 1,-,20.0,儀器調校中,1011.9,0.0,11.1
11,08/18 23:00,30.3,晴,北北東,0.5 | 1,-,20.0,儀器調校中,1012.1,0.0,11.1
12,08/18 22:50,30.1,X,北北東,0.8 | 1,-,-,儀器調校中,1012.3,0.0,11.1
13,08/18 22:40,30.3,X,北,1.0 | 1,-,-,儀器調校中,1012.4,0.0,11.1
14,08/18 22:30,30.5,X,北北西,1.1 | 1,-,-,儀器調校中,1012.4,0.0,11.1
15,08/18 22:20,30.3,X,北,1.8 | 2,-,-,儀器調校中,1012.4,0.0,11.1
16,08/18 22:10,30.4,X,北北西,1.4 | 1,-,-,儀器調校中,1012.4,0.0,11.1
17,08/18 22:00,30.2,X,北,1.0 | 1,-,-,儀器調校中,1012.5,0.0,11.1
18,08/18 21:50,30.4,X,北北西,1.2 | 1,-,-,儀器調校中,1012.5,0.0,11.1
19,08/18 21:40,30.4,X,北北東,1.9 | 2,-,-,儀器調校中,1012.6,0.0,11.1
20,08/18 21:30,30.3,X,北,1.5 | 1,-,-,儀器調校中,1012.6,0.0,11.1
21,08/18 21:20,30.6,X,北北西,1.7 | 2,-,-,儀器調校中,1012.3,0.0,11.1
22,08/18 21:10,30.6,X,北北西,1.6 | 2,-,-,儀器調校中,1012.2,0.0,11.1
23,08/18 21:00,30.5,X,北北西,2.5 | 2,-,-,儀器調校中,1011.9,0.0,11.1
24,08/18 20:50,30.5,晴,北北西,2.8 | 2,-,15.0,儀器調校中,1011.8,0.0,11.1
25,08/18 20:40,30.6,晴,北,3.1 | 2,-,15.0,儀器調校中,1011.9,0.0,11.1
26,08/18 20:30,30.6,晴,北,2.8 | 2,-,15.0,儀器調校中,1011.9,0.0,11.1
27,08/18 20:20,30.8,晴,北北西,2.7 | 2,-,15.0,儀器調校中,1011.8,0.0,11.1
28,08/18 20:10,30.6,晴,北,3.4 | 3,-,15.0,儀器調校中,1011.6,0.0,11.1
29,08/18 20:00,30.7,晴,北,3.0 | 2,-,15.0,儀器調校中,1011.4,0.0,11.1
30,08/18 19:50,30.7,X,北北西,3.2 | 2,-,-,儀器調校中,1011.2,0.0,11.1
31,08/18 19:40,30.7,X,北,3.5 | 3,-,-,儀器調校中,1011.2,0.0,11.1
32,08/18 19:30,30.8,X,北北西,3.0 | 2,-,-,儀器調校中,1011.3,0.0,11.1
33,08/18 19:20,30.9,X,北,3.0 | 2,-,-,儀器調校中,1011.1,0.0,11.1
34,08/18 19:10,30.9,X,北,3.2 | 2,-,-,儀器調校中,1010.8,0.0,11.1
35,08/18 19:00,31.0,X,北北西,2.5 | 2,-,-,儀器調校中,1010.7,0.0,11.1
36,08/18 18:50,31.0,X,西北,3.0 | 2,-,-,儀器調校中,1010.7,0.0,11.1
37,08/18 18:40,31.0,X,北,3.5 | 3,-,-,儀器調校中,1010.6,0.0,11.1
38,08/18 18:30,31.3,X,西北,3.4 | 3,-,-,儀器調校中,1010.3,0.0,11.1
39,08/18 18:20,31.2,X,西北,2.9 | 2,-,-,儀器調校中,1010.3,0.0,11.1
40,08/18 18:10,31.4,X,西北,3.3 | 2,-,-,儀器調校中,1010.2,0.0,11.1
41,08/18 18:00,31.2,X,西北,3.5 | 3,-,-,儀器調校中,1010.1,0.0,11.1
42,08/18 17:50,31.4,多雲,西北,3.5 | 3,-,20.0,儀器調校中,1010.1,0.0,11.1
43,08/18 17:40,31.8,多雲,西北,3.5 | 3,-,20.0,儀器調校中,1010.2,0.0,10.9
44,08/18 17:30,31.8,多雲,北北西,4.1 | 3,-,20.0,儀器調校中,1010.2,0.0,10.8
45,08/18 17:20,32.2,多雲,西北西,3.1 | 2,-,20.0,儀器調校中,1010.1,0.0,10.6
46,08/18 17:10,32.1,多雲,西,3.1 | 2,-,20.0,儀器調校中,1010.2,0.0,10.4
47,08/18 17:00,32.4,多雲,西北西,2.5 | 2,-,20.0,儀器調校中,1010.0,0.0,10.3
48,08/18 16:50,32.2,晴,西,3.9 | 3,-,-,儀器調校中,1010.0,0.0,10.1
49,08/18 16:40,32.1,晴,西北西,3.1 | 2,-,-,儀器調校中,1010.2,0.0,9.9
50,08/18 16:30,32.3,晴,西北西,3.5 | 3,-,-,儀器調校中,1010.2,0.0,9.8
51,08/18 16:20,32.4,晴,西北西,3.9 | 3,-,-,儀器調校中,1010.0,0.0,9.6
52,08/18 16:10,32.5,晴,西,3.4 | 3,-,-,儀器調校中,1009.9,0.0,9.4
53,08/18 16:00,32.6,晴,西,3.5 | 3,-,-,儀器調校中,1009.8,0.0,9.3
54,08/18 15:50,32.1,多雲,西,4.0 | 3,-,-,儀器調校中,1010.1,0.0,9.1
55,08/18 15:40,32.4,多雲,西,4.0 | 3,-,-,儀器調校中,1010.3,0.0,8.9
56,08/18 15:30,32.9,多雲,西北西,4.3 | 3,-,-,儀器調校中,1010.2,0.0,8.8
57,08/18 15:20,33.0,多雲,西,3.8 | 3,-,-,儀器調校中,1010.1,0.0,8.6
58,08/18 15:10,32.8,多雲,西,2.3 | 2,-,-,儀器調校中,1010.2,0.0,8.4
59,08/18 15:00,32.8,多雲,西,3.0 | 2,-,-,儀器調校中,1010.3,0.0,8.3
60,08/18 14:50,33.0,多雲,西,3.7 | 3,-,15.0,儀器調校中,1010.5,0.0,8.1
61,08/18 14:40,33.2,多雲,西北西,4.6 | 3,-,15.0,儀器調校中,1010.5,0.0,7.9
62,08/18 14:30,33.1,多雲,西,3.9 | 3,-,15.0,儀器調校中,1010.7,0.0,7.8
63,08/18 14:20,33.3,多雲,西,3.4 | 3,-,15.0,儀器調校中,1010.7,0.0,7.6
64,08/18 14:10,33.4,多雲,西,3.3 | 2,-,15.0,儀器調校中,1010.7,0.0,7.4
65,08/18 14:00,33.4,多雲,西,3.5 | 3,-,15.0,儀器調校中,1010.7,0.0,7.3
66,08/18 13:50,33.1,多雲,西,3.8 | 3,-,-,儀器調校中,1010.8,0.0,7.1
67,08/18 13:40,32.9,多雲,西南西,3.3 | 2,-,-,儀器調校中,1010.9,0.0,6.9
68,08/18 13:30,33.6,多雲,西南西,3.1 | 2,-,-,儀器調校中,1010.8,0.0,6.8
69,08/18 13:20,33.1,多雲,西南西,3.9 | 3,-,-,儀器調校中,1010.9,0.0,6.6
70,08/18 13:10,33.5,多雲,西南西,2.9 | 2,-,-,儀器調校中,1011.0,0.0,6.4
71,08/18 13:00,33.3,多雲,西南西,3.0 | 2,-,-,儀器調校中,1011.0,0.0,6.3
72,08/18 12:50,33.0,多雲,西,3.4 | 3,-,-,儀器調校中,1011.1,0.0,6.1
73,08/18 12:40,33.6,多雲,西南,3.3 | 2,-,-,儀器調校中,1011.1,0.0,5.9
74,08/18 12:30,33.7,多雲,南南西,2.9 | 2,-,-,儀器調校中,1011.2,0.0,5.8
75,08/18 12:20,33.1,多雲,西南,3.5 | 3,-,-,儀器調校中,1011.2,0.0,5.6
76,08/18 12:10,32.7,多雲,西南,3.5 | 3,-,-,儀器調校中,1011.4,0.0,5.4
77,08/18 12:00,33.3,多雲,西南,2.5 | 2,-,-,儀器調校中,1011.4,0.0,5.3
78,08/18 11:50,33.4,多雲,西南,2.8 | 2,-,15.0,儀器調校中,1011.4,0.0,5.1
79,08/18 11:40,33.4,多雲,南南西,3.8 | 3,-,15.0,儀器調校中,1011.3,0.0,4.9
80,08/18 11:30,33.8,多雲,西南西,3.3 | 2,-,15.0,儀器調校中,1011.2,0.0,4.8
81,08/18 11:20,33.5,多雲,南南西,2.5 | 2,-,15.0,儀器調校中,1011.3,0.0,4.6
82,08/18 11:10,33.6,多雲,南南西,2.7 | 2,-,15.0,儀器調校中,1011.3,0.0,4.4
83,08/18 11:00,33.5,多雲,南南西,2.0 | 2,-,15.0,儀器調校中,1011.4,0.0,4.3
84,08/18 10:50,32.6,多雲,西南,2.1 | 2,-,-,儀器調校中,1011.4,0.0,4.1
85,08/18 10:40,33.3,多雲,西南,2.3 | 2,-,-,儀器調校中,1011.5,0.0,4.0
