,觀測時間,溫度(°C>>°F),天氣,風向,風力(m/s) | (級),陣風(m/s) | (級),能見度(公里),相對溼度(%),海平面氣壓(百帕),當日累積雨量(毫米),日照時數(小時)
0,08/23 00:50,27.8,X,東南東,2.1 | 2,-,-,75,1004.5,0.0,0.0
1,08/23 00:40,27.8,X,東南東,2.3 | 2,-,-,75,1004.6,0.0,0.0
2,08/23 00:30,27.7,X,東南東,3.1 | 2,-,-,76,1004.5,0.0,0.0
3,08/23 00:20,27.8,X,東南東,2.7 | 2,-,-,75,1004.5,0.0,0.0
4,08/23 00:10,27.6,X,東,1.8 | 2,-,-,77,1004.4,0.0,0.0
5,08/23 00:00,27.4,X,東,2.0 | 2,-,-,78,1004.2,7.0,2.2
6,08/22 23:50,27.3,晴,東北東,2.4 | 2,-,20.0,79,1004.2,7.0,2.2
7,08/22 23:40,27.5,晴,東,2.0 | 2,-,20.0,77,1004.2,7.0,2.2
8,08/22 23:30,27.6,晴,東,1.6 | 2,-,20.0,76,1004.3,7.0,2.2
9,08/22 23:20,27.6,晴,東,1.9 | 2,-,20.0,77,1004.3,7.0,2.2
10,08/22 23:10,27.8,晴,東,2.6 | 2,-,20.0,75,1004.5,7.0,2.2
11,08/22 23:00,27.8,晴,東南東,2.0 | 2,-,20.0,76,1004.5,7.0,2.2
12,08/22 22:50,27.8,X,東,1.3 | 1,-,-,77,1004.6,7.0,2.2
13,08/22 22:40,27.7,X,東,1.2 | 1,-,-,77,1004.7,7.0,2.2
14,08/22 22:30,27.7,X,東南東,2.0 | 2,-,-,77,1004.7,7.0,2.2
15,08/22 22:20,27.6,X,南南東,1.0 | 1,-,-,79,1004.5,7.0,2.2
16,08/22 22:10,27.6,X,東,1.1 | 1,-,-,79,1004.5,7.0,2.2
17,08/22 22:00,27.4,X,東南東,1.5 | 1,-,-,80,1004.4,7.0,2.2
18,08/22 21:50,27.2,X,東南東,1.6 | 2,-,-,81,1004.3,7.0,2.2
19,08/22 21:40,27.3,X,東,2.1 | 2,-,-,80,1004.1,7.0,2.2
20,08/22 21:30,27.5,X,東北東,2.5 | 2,-,-,78,1004.1,7.0,2.2
21,08/22 21:20,27.3,X,東,1.9 | 2,-,-,80,1004.0,7.0,2.2
22,08/22 21:10,27.4,X,東,1.9 | 2,-,-,79,1003.9,7.0,2.2
23,08/22 21:00,27.3,X,東,2.0 | 2,-,-,80,1003.8,7.0,2.2
24,08/22 20:50,27.5,多雲,東,2.3 | 2,-,15.0,79,1003.5,7.0,2.2
25,08/22 20:40,27.5,多雲,東,3.0 | 2,-,15.0,78,1003.5,7.0,2.2
26,08/22 20:30,27.5,多雲,東,2.8 | 2,-,15.0,78,1003.5,7.0,2.2
27,08/22 20:20,27.3,多雲,東南東,4.0 | 3,-,15.0,79,1003.3,7.0,2.2
28,08/22 20:10,27.2,多雲,東南東,2.5 | 2,-,15.0,81,1003.3,7.0,2.2
29,08/22 20:00,27.1,多雲,東南東,1.5 | 1,-,15.0,82,1003.1,7.0,2.2
30,08/22 19:50,27.0,X,東南東,1.6 | 2,-,-,83,1003.0,7.0,2.2
31,08/22 19:40,26.7,X,東,2.1 | 2,-,-,84,1003.0,7.0,2.2
