,觀測時間,溫度(°C>>°F),天氣,風向,風力(m/s) | (級),陣風(m/s) | (級),能見度(公里),相對溼度(%),海平面氣壓(百帕),當日累積雨量(毫米),日照時數(小時)
0,09/02 00:50,25.8,X,東北,4.0 | 3,-,-,85,1005.3,0.5,0.0
1,09/02 00:40,25.9,X,東北東,2.7 | 2,-,-,85,1005.4,0.0,0.0
2,09/02 00:30,26.0,X,東北,3.3 | 2,-,-,84,1005.3,0.0,0.0
3,09/02 00:20,26.0,X,東北東,4.1 | 3,-,-,84,1005.3,0.0,0.0
4,09/02 00:10,25.9,X,東北,3.6 | 3,-,-,84,1005.5,0.0,0.0
5,09/02 00:00,25.9,X,東北,4.0 | 3,-,-,84,1005.6,40.0,0.0
6,09/01 23:50,25.8,X,東北東,3.9 | 3,-,-,85,1005.7,40.0,0.0
7,09/01 23:40,25.7,X,東北東,3.3 | 2,-,-,85,1005.9,40.0,0.0
8,09/01 23:30,25.7,X,東北東,4.0 | 3,-,-,85,1005.8,39.5,0.0
9,09/01 23:20,25.8,X,東北東,4.2 | 3,-,-,85,1006.1,38.5,0.0
10,09/01 23:10,25.8,X,東北東,3.8 | 3,-,-,85,1006.1,37.0,0.0
11,09/01 23:00,25.8,X,東北東,3.0 | 2,-,-,86,1006.2,35.5,0.0
12,09/01 22:50,25.8,X,東北東,3.0 | 2,-,-,85,1006.4,34.5,0.0
13,09/01 22:40,25.8,X,東北東,2.7 | 2,-,-,86,1006.6,32.5,0.0
14,09/01 22:30,25.7,X,東北東,3.6 | 3,-,-,87,1006.6,31.0,0.0
15,09/01 22:20,25.8,X,東,3.3 | 2,-,-,86,1006.8,27.5,0.0
16,09/01 22:10,25.9,X,東,3.4 | 3,-,-,86,1006.9,25.0,0.0
17,09/01 22:00,25.8,X,東,2.5 | 2,-,-,86,1006.9,22.0,0.0
18,09/01 21:50,25.9,X,東,2.8 | 2,-,-,86,1007.1,18.0,0.0
19,09/01 21:40,26.1,X,東南東,1.9 | 2,-,-,86,1007.0,15.0,0.0
20,09/01 21:30,26.3,X,東南東,1.8 | 2,-,-,85,1006.8,13.5,0.0
21,09/01 21:20,26.4,X,東南東,1.7 | 2,-,-,85,1006.8,12.5,0.0
22,09/01 21:10,26.4,X,東,2.0 | 2,-,-,84,1006.7,12.0,0.0
23,09/01 21:00,26.6,X,東,2.5 | 2,-,-,83,1006.7,11.5,0.0
24,09/01 20:50,26.7,X,東北東,2.0 | 2,-,-,82,1006.7,11.0,0.0
25,09/01 20:40,26.9,X,東北東,3.2 | 2,-,-,80,1006.5,10.5,0.0
26,09/01 20:30,26.8,X,東北東,2.5 | 2,-,-,81,1006.4,10.5,0.0
27,09/01 20:20,26.9,X,東北東,2.8 | 2,-,-,81,1006.2,10.0,0.0
28,09/01 20:10,27.0,X,東北東,3.5 | 3,-,-,80,1006.2,9.5,0.0
29,09/01 20:00,26.9,X,東北東,2.5 | 2,-,-,81,1006.0,9.5,0.0
30,09/01 19:50,27.3,X,東北東,3.0 | 2,-,-,80,1005.8,9.5,0.0
31,09/01 19:40,27.2,X,東北,3.6 | 3,-,-,80,1005.6,9.5,0.0
32,09/01 19:30,27.2,X,東北東,3.9 | 3,-,-,80,1005.5,9.5,0.0
33,09/01 19:20,27.3,X,東北東,3.7 | 3,-,-,80,1005.3,9.5,0.0
34,09/01 19:10,27.3,X,東北,3.8 | 3,-,-,80,1005.0,9.5,0.0
35,09/01 19:00,27.2,X,東北,4.0 | 3,-,-,81,1005.0,9.5,0.0
36,09/01 18:50,27.2,X,東北,4.0 | 3,-,-,82,1005.0,9.0,0.0
37,09/01 18:40,27.3,X,東北,3.7 | 3,-,-,81,1005.2,9.0,0.0
38,09/01 18:30,27.3,X,東北,3.3 | 2,-,-,81,1005.1,9.0,0.0
39,09/01 18:20,27.2,X,東北,3.2 | 2,-,-,82,1005.0,9.0,0.0
40,09/01 18:10,27.3,X,東北,4.6 | 3,-,-,81,1004.7,9.0,0.0
41,09/01 18:00,27.2,X,東北,3.5 | 3,-,-,82,1004.8,9.0,0.0
42,09/01 17:50,27.2,陰有雨,東北,4.2 | 3,11.5 | 6,5.0,82,1004.8,8.5,0.0
43,09/01 17:40,27.2,陰有雨,東北東,4.7 | 3,11.5 | 6,5.0,81,1004.6,8.5,0.0
44,09/01 17:30,27.1,陰有雨,東北,4.4 | 3,11.5 | 6,5.0,82,1004.5,8.5,0.0
45,09/01 17:20,27.2,陰有雨,東北,5.2 | 3,11.5 | 6,5.0,81,1004.2,8.0,0.0
46,09/01 17:10,27.2,陰有雨,東北,5.5 | 4,11.5 | 6,5.0,81,1004.2,8.0,0.0
47,09/01 17:00,27.1,陰有雨,東北,5.0 | 3,11.5 | 6,5.0,82,1004.1,7.5,0.0
48,09/01 16:50,27.0,陰有雨,東北,4.7 | 3,11.5 | 6,-,83,1004.1,7.0,0.0
49,09/01 16:40,27.0,陰有雨,東北,4.4 | 3,11.5 | 6,-,83,1004.2,6.5,0.0
50,09/01 16:30,27.0,陰有雨,東北,4.8 | 3,11.5 | 6,-,83,1004.2,6.0,0.0
51,09/01 16:20,27.0,陰有雨,東北,5.0 | 3,11.5 | 6,-,83,1004.3,5.5,0.0
52,09/01 16:10,27.1,陰有雨,東北,5.0 | 3,11.5 | 6,-,82,1004.3,4.5,0.0
53,09/01 16:00,27.3,陰有雨,東北,3.0 | 2,11.5 | 6,-,82,1004.4,4.0,0.0
54,09/01 15:50,27.4,陰有雨,東北,4.8 | 3,-,-,81,1004.3,3.5,0.0
55,09/01 15:40,27.4,陰有雨,東北,4.9 | 3,-,-,81,1004.2,3.5,0.0
56,09/01 15:30,27.4,陰有雨,東北,5.6 | 4,-,-,81,1004.3,3.0,0.0
57,09/01 15:20,27.5,陰有雨,東北,5.2 | 3,-,-,80,1004.3,3.0,0.0
58,09/01 15:10,27.6,陰有雨,東北,4.3 | 3,-,-,81,1004.4,3.0,0.0
59,09/01 15:00,27.6,陰有雨,東北,3.5 | 3,-,-,80,1004.5,2.5,0.0
60,09/01 14:50,27.6,陰,東北,4.2 | 3,12.0 | 6,10.0,80,1004.5,2.5,0.0
61,09/01 14:40,27.7,陰,東北,4.5 | 3,12.0 | 6,10.0,79,1004.5,2.0,0.0
62,09/01 14:30,27.8,陰,東北,4.2 | 3,12.0 | 6,10.0,80,1004.7,2.0,0.0
63,09/01 14:20,28.1,陰,東北,3.9 | 3,12.0 | 6,10.0,78,1004.7,2.0,0.0
64,09/01 14:10,28.3,陰,東北東,4.5 | 3,12.0 | 6,10.0,79,1004.7,2.0,0.0
65,09/01 14:00,28.4,陰,東北東,3.0 | 2,12.0 | 6,10.0,80,1004.7,2.0,0.0
66,09/01 13:50,28.4,陰有雨,東北,3.3 | 2,-,-,80,1004.8,2.0,0.0
67,09/01 13:40,28.1,陰有雨,東北,4.0 | 3,-,-,80,1004.8,2.0,0.0
68,09/01 13:30,28.0,陰有雨,東北,3.7 | 3,-,-,79,1005.0,2.0,0.0
69,09/01 13:20,27.8,陰有雨,東北,3.7 | 3,-,-,80,1005.1,2.0,0.0
70,09/01 13:10,27.8,陰有雨,東北,3.5 | 3,-,-,81,1005.3,2.0,0.0
71,09/01 13:00,27.7,陰有雨,東北,4.0 | 3,-,-,81,1005.4,2.0,0.0
72,09/01 12:50,27.5,陰有雷雨,東北,5.6 | 4,12.0 | 6,-,80,1005.4,2.0,0.0
73,09/01 12:40,27.3,陰有雷雨,東北,5.4 | 3,12.0 | 6,-,81,1005.6,2.0,0.0
74,09/01 12:30,27.2,陰有雷雨,東北,4.8 | 3,12.0 | 6,-,80,1005.7,2.0,0.0
75,09/01 12:20,27.2,陰有雷雨,東北,4.1 | 3,12.0 | 6,-,80,1005.9,2.0,0.0
76,09/01 12:10,27.0,陰有雷雨,東北,3.7 | 3,12.0 | 6,-,80,1006.2,2.0,0.0
77,09/01 12:00,26.6,陰有雷雨,東北,3.5 | 3,12.0 | 6,-,80,1006.4,2.0,0.0
78,09/01 11:50,26.2,陰有雨,東北,4.1 | 3,11.5 | 6,10.0,80,1006.5,2.0,0.0
79,09/01 11:40,25.8,陰有雨,東北,5.3 | 3,11.5 | 6,10.0,79,1006.6,2.0,0.0
80,09/01 11:30,25.9,陰有雨,東北,5.6 | 4,11.5 | 6,10.0,77,1006.8,2.0,0.0
81,09/01 11:20,26.8,陰有雨,東北,5.4 | 3,11.5 | 6,10.0,77,1006.7,2.0,0.0
82,09/01 11:10,27.4,陰有雨,東北東,3.5 | 3,11.5 | 6,10.0,79,1006.8,1.5,0.0
83,09/01 11:00,27.8,陰有雨,東北東,3.5 | 3,11.5 | 6,10.0,76,1006.9,0.5,0.0
84,09/01 10:50,28.4,陰,東北,4.7 | 3,11.0 | 6,-,75,1006.7,0.5,0.0
85,09/01 10:40,28.6,陰,東北,3.5 | 3,11.0 | 6,-,76,1006.6,0.5,0.0
86,09/01 10:30,28.6,陰,東北,4.9 | 3,11.0 | 6,-,74,1006.5,0.5,0.0
87,09/01 10:20,28.9,陰,東北,5.4 | 3,11.0 | 6,-,73,1006.6,0.5,0.0
88,09/01 10:10,28.9,陰,東北,4.2 | 3,11.0 | 6,-,74,1006.7,0.5,0.0
89,09/01 10:00,28.8,陰,東北,4.5 | 3,11.0 | 6,-,74,1006.7,0.5,0.0
90,09/01 09:50,28.9,陰,東北,3.6 | 3,11.5 | 6,12.0,74,1006.8,0.5,0.0
91,09/01 09:40,28.9,陰,東北東,4.7 | 3,11.5 | 6,12.0,74,1006.7,0.5,0.0
92,09/01 09:30,29.1,陰,東北,4.3 | 3,11.5 | 6,12.0,73,1006.6,0.5,0.0
93,09/01 09:20,29.2,陰,東北,4.2 | 3,11.5 | 6,12.0,73,1006.5,0.5,0.0
94,09/01 09:10,29.3,陰,東北,5.1 | 3,11.5 | 6,12.0,72,1006.5,0.5,0.0
95,09/01 09:00,29.5,陰,東北,4.0 | 3,11.5 | 6,12.0,72,1006.5,0.5,0.0
