,觀測時間,溫度(°C>>°F),天氣,風向,風力(m/s) | (級),陣風(m/s) | (級),能見度(公里),相對溼度(%),海平面氣壓(百帕),當日累積雨量(毫米),日照時數(小時)
0,09/01 00:50,27.8,X,東北,3.4 | 3,11.0 | 6,-,77,1006.3,0.5,0.0
1,09/01 00:40,27.8,X,東北東,3.1 | 2,11.0 | 6,-,77,1006.4,0.5,0.0
2,09/01 00:30,27.7,X,東北東,3.5 | 3,11.0 | 6,-,77,1006.4,0.5,0.0
3,09/01 00:20,27.8,X,東北東,3.2 | 2,11.0 | 6,-,77,1006.4,0.5,0.0
4,09/01 00:10,27.8,X,東北,3.6 | 3,11.0 | 6,-,76,1006.6,0.5,0.0
5,09/01 00:00,27.8,X,東北,4.5 | 3,11.0 | 6,-,76,1006.6,0.5,4.6
6,08/31 23:50,27.5,X,東北,4.1 | 3,-,-,76,1006.8,0.5,4.6
7,08/31 23:40,27.5,X,東北,4.0 | 3,-,-,76,1006.9,0.5,4.6
8,08/31 23:30,27.6,X,東北,3.4 | 3,-,-,76,1006.9,0.5,4.6
9,08/31 23:20,27.6,X,東北,3.7 | 3,-,-,76,1007.0,0.5,4.6
10,08/31 23:10,27.9,X,東北,3.5 | 3,-,-,73,1007.1,-,4.6
11,08/31 23:00,28.1,X,東北,3.5 | 3,-,-,73,1007.2,0.0,4.6
12,08/31 22:50,28.3,X,東北,4.2 | 3,-,-,72,1007.2,0.0,4.6
13,08/31 22:40,28.4,X,東北,4.9 | 3,-,-,71,1007.2,0.0,4.6
14,08/31 22:30,28.4,X,東北,4.4 | 3,-,-,71,1007.3,0.0,4.6
15,08/31 22:20,28.5,X,東北,4.8 | 3,-,-,70,1007.3,0.0,4.6
16,08/31 22:10,28.6,X,東北,4.7 | 3,-,-,70,1007.3,0.0,4.6
17,08/31 22:00,28.7,X,東北,4.0 | 3,-,-,70,1007.4,0.0,4.6
18,08/31 21:50,28.9,X,東北,3.6 | 3,-,-,70,1007.2,0.0,4.6
19,08/31 21:40,28.9,X,東北,5.6 | 4,-,-,69,1007.4,0.0,4.6
20,08/31 21:30,28.9,X,東北,4.7 | 3,-,-,70,1007.5,0.0,4.6
21,08/31 21:20,29.0,X,東北,3.5 | 3,-,-,70,1007.4,0.0,4.6
22,08/31 21:10,29.0,X,東北,4.7 | 3,-,-,70,1007.4,0.0,4.6
23,08/31 21:00,29.0,X,東北,4.0 | 3,-,-,70,1007.5,0.0,4.6
24,08/31 20:50,29.0,X,東北,4.3 | 3,12.5 | 6,-,70,1007.5,0.0,4.6
25,08/31 20:40,29.1,X,東北東,4.0 | 3,12.5 | 6,-,70,1007.3,0.0,4.6
26,08/31 20:30,29.1,X,東北東,3.9 | 3,12.5 | 6,-,69,1007.2,0.0,4.6
27,08/31 20:20,29.1,X,東北東,3.2 | 2,12.5 | 6,-,69,1007.3,0.0,4.6
28,08/31 20:10,29.2,X,東北,4.5 | 3,12.5 | 6,-,68,1007.2,0.0,4.6
29,08/31 20:00,29.2,X,東北,4.5 | 3,12.5 | 6,-,68,1007.0,0.0,4.6
30,08/31 19:50,29.1,X,東北,5.1 | 3,11.5 | 6,-,69,1007.1,0.0,4.6
31,08/31 19:40,29.1,X,東北,5.6 | 4,11.5 | 6,-,69,1007.0,0.0,4.6
32,08/31 19:30,29.1,X,東北,6.0 | 4,11.5 | 6,-,68,1006.8,0.0,4.6
33,08/31 19:20,29.1,X,東北,5.8 | 4,11.5 | 6,-,69,1006.7,0.0,4.6
34,08/31 19:10,29.2,X,東北,4.4 | 3,11.5 | 6,-,68,1006.6,0.0,4.6
35,08/31 19:00,29.2,X,東北,4.0 | 3,11.5 | 6,-,68,1006.7,0.0,4.6
36,08/31 18:50,29.2,X,東北,5.3 | 3,12.0 | 6,-,68,1006.6,0.0,4.6
37,08/31 18:40,29.3,X,東北,5.5 | 4,12.0 | 6,-,66,1006.6,0.0,4.6
38,08/31 18:30,29.4,X,東北,4.6 | 3,12.0 | 6,-,66,1006.6,0.0,4.6
39,08/31 18:20,29.4,X,東北,4.8 | 3,12.0 | 6,-,66,1006.6,0.0,4.6
40,08/31 18:10,29.4,X,東北,4.9 | 3,12.0 | 6,-,66,1006.5,0.0,4.6
41,08/31 18:00,29.4,X,東北,5.5 | 4,12.0 | 6,-,66,1006.2,0.0,4.6
42,08/31 17:50,29.4,陰,東北,5.9 | 4,14.0 | 7,20.0,66,1006.3,0.0,4.6
43,08/31 17:40,29.4,陰,東北,6.3 | 4,14.0 | 7,20.0,66,1006.2,0.0,4.6
44,08/31 17:30,29.5,陰,東北,5.4 | 3,14.0 | 7,20.0,66,1005.9,0.0,4.6
45,08/31 17:20,29.5,陰,東北,6.0 | 4,14.0 | 7,20.0,66,1005.8,0.0,4.6
46,08/31 17:10,29.6,陰,東北,4.5 | 3,14.0 | 7,20.0,66,1005.7,0.0,4.6
47,08/31 17:00,29.6,陰,東北,6.0 | 4,14.0 | 7,20.0,65,1005.7,0.0,4.6
48,08/31 16:50,29.5,陰,東北,5.8 | 4,13.0 | 6,-,66,1005.8,0.0,4.6
49,08/31 16:40,29.7,陰,東北,5.2 | 3,13.0 | 6,-,66,1005.6,0.0,4.6
50,08/31 16:30,29.6,陰,東北,6.7 | 4,13.0 | 6,-,66,1005.6,0.0,4.6
51,08/31 16:20,29.8,陰,東北,4.7 | 3,13.0 | 6,-,66,1005.6,0.0,4.6
52,08/31 16:10,29.6,陰,東北,6.0 | 4,13.0 | 6,-,67,1005.6,0.0,4.6
53,08/31 16:00,29.7,陰,東北,6.0 | 4,13.0 | 6,-,66,1005.7,0.0,4.6
54,08/31 15:50,29.9,陰,東北,5.7 | 4,14.0 | 7,-,66,1005.7,0.0,4.6
55,08/31 15:40,30.0,陰,東北,4.7 | 3,14.0 | 7,-,66,1005.6,0.0,4.6
56,08/31 15:30,29.9,陰,東北,5.7 | 4,14.0 | 7,-,67,1005.8,0.0,4.6
57,08/31 15:20,30.2,陰,東北,5.4 | 3,14.0 | 7,-,66,1005.6,0.0,4.6
58,08/31 15:10,30.6,陰,東北,4.7 | 3,14.0 | 7,-,65,1005.8,0.0,4.6
59,08/31 15:00,30.9,陰,北北東,5.0 | 3,14.0 | 7,-,64,1005.8,0.0,4.6
60,08/31 14:50,30.7,陰,東北,5.6 | 4,12.5 | 6,35.0,64,1005.7,0.0,4.6
61,08/31 14:40,30.6,陰,東北,6.4 | 4,12.5 | 6,35.0,63,1005.7,0.0,4.6
62,08/31 14:30,30.4,陰,東北,7.0 | 4,12.5 | 6,35.0,63,1005.7,0.0,4.6
63,08/31 14:20,30.7,陰,東北,7.6 | 4,12.5 | 6,35.0,64,1005.8,0.0,4.6
64,08/31 14:10,31.2,陰,東北,6.2 | 4,12.5 | 6,35.0,64,1006.0,0.0,4.6
65,08/31 14:00,31.6,陰,東北,4.0 | 3,12.5 | 6,35.0,64,1006.0,0.0,4.6
66,08/31 13:50,32.2,陰,北北東,4.3 | 3,12.5 | 6,-,62,1005.9,0.0,4.5
67,08/31 13:40,32.4,陰,北北東,4.0 | 3,12.5 | 6,-,61,1005.9,0.0,4.5
68,08/31 13:30,31.7,陰,東北,6.8 | 4,12.5 | 6,-,62,1006.0,0.0,4.4
69,08/31 13:20,31.8,陰,東北,6.6 | 4,12.5 | 6,-,62,1006.2,0.0,4.3
70,08/31 13:10,32.2,陰,東北,5.8 | 4,12.5 | 6,-,61,1006.3,0.0,4.1
71,08/31 13:00,32.7,陰,東北,5.5 | 4,12.5 | 6,-,60,1006.4,0.0,3.9
72,08/31 12:50,32.7,陰,東北,4.8 | 3,11.5 | 6,-,61,1006.6,0.0,3.8
73,08/31 12:40,32.5,陰,北北東,3.7 | 3,11.5 | 6,-,62,1006.6,0.0,3.6
74,08/31 12:30,32.3,陰,東北,3.5 | 3,11.5 | 6,-,61,1006.7,0.0,3.5
75,08/31 12:20,31.9,陰,東北,6.0 | 4,11.5 | 6,-,60,1006.9,0.0,3.4
76,08/31 12:10,31.8,陰,東北,4.7 | 3,11.5 | 6,-,63,1006.8,0.0,3.3
77,08/31 12:00,32.5,陰,東北,5.0 | 3,11.5 | 6,-,61,1007.1,0.0,3.2
78,08/31 11:50,33.1,陰,東北東,4.7 | 3,13.5 | 6,40.0,59,1007.1,0.0,3.1
79,08/31 11:40,33.1,陰,東北東,4.3 | 3,13.5 | 6,40.0,58,1007.3,0.0,3.0
80,08/31 11:30,32.7,陰,東北,4.6 | 3,13.5 | 6,40.0,60,1007.5,0.0,2.9
81,08/31 11:20,32.7,陰,東北,4.1 | 3,13.5 | 6,40.0,60,1007.6,0.0,2.9
82,08/31 11:10,32.5,陰,東北,5.5 | 4,13.5 | 6,40.0,60,1007.7,0.0,2.7
83,08/31 11:00,32.1,陰,東北,6.5 | 4,13.5 | 6,40.0,58,1007.6,0.0,2.7
84,08/31 10:50,31.9,多雲,東北,6.0 | 4,-,-,60,1007.7,0.0,2.6
85,08/31 10:40,31.9,多雲,東北,6.2 | 4,-,-,60,1007.5,0.0,2.5
86,08/31 10:30,32.0,多雲,東北,6.2 | 4,-,-,60,1007.6,0.0,2.5
87,08/31 10:20,32.0,多雲,東北,5.1 | 3,-,-,59,1007.6,0.0,2.3
88,08/31 10:10,32.1,多雲,東北,5.8 | 4,-,-,59,1007.5,0.0,2.2
89,08/31 10:00,32.2,多雲,東北,5.0 | 3,-,-,61,1007.5,0.0,2.0
90,08/31 09:50,31.8,多雲,東北,4.0 | 3,-,40.0,63,1007.6,0.0,1.9
91,08/31 09:40,32.1,多雲,東北,4.5 | 3,-,40.0,63,1007.7,0.0,1.7
92,08/31 09:30,31.6,多雲,東北,4.3 | 3,-,40.0,63,1008.0,0.0,1.6
93,08/31 09:20,31.1,多雲,東北,4.1 | 3,-,40.0,64,1007.9,0.0,1.5
94,08/31 09:10,31.2,多雲,東北,5.1 | 3,-,40.0,64,1007.8,0.0,1.4
95,08/31 09:00,31.0,多雲,東北,4.5 | 3,-,40.0,64,1007.7,0.0,1.4
96,08/31 08:50,31.1,陰,東北,5.2 | 3,-,10.0,65,1007.7,0.0,1.4
97,08/31 08:40,31.0,陰,東北東,3.7 | 3,-,10.0,64,1007.7,0.0,1.2
98,08/31 08:30,30.7,陰,東北,5.3 | 3,-,10.0,64,1007.8,0.0,1.2
99,08/31 08:20,31.0,陰,東北,4.9 | 3,-,10.0,65,1007.8,0.0,1.1
100,08/31 08:10,31.1,陰,東北,3.3 | 2,-,10.0,66,1007.8,0.0,1.0
101,08/31 08:00,31.0,陰,東北,4.0 | 3,-,10.0,66,1007.7,0.0,0.8
102,08/31 07:50,30.4,X,東北,3.6 | 3,-,-,68,1007.6,0.0,0.6
103,08/31 07:40,29.8,X,東北,4.1 | 3,-,-,70,1007.5,0.0,0.5
104,08/31 07:30,29.5,X,東北,4.2 | 3,-,-,71,1007.5,0.0,0.5
105,08/31 07:20,29.7,X,東北,2.6 | 2,-,-,70,1007.4,0.0,0.5
106,08/31 07:10,29.2,X,東北,3.2 | 2,-,-,70,1007.5,0.0,0.4
107,08/31 07:00,29.0,X,東北,2.5 | 2,-,-,71,1007.6,0.0,0.2
108,08/31 06:50,28.8,X,東北東,3.0 | 2,-,-,71,1007.4,0.0,0.1
109,08/31 06:40,28.7,X,東北東,2.6 | 2,-,-,72,1007.4,0.0,0.0
110,08/31 06:30,28.6,X,東北東,2.1 | 2,-,-,72,1007.3,0.0,0.0
111,08/31 06:20,28.5,X,東北東,2.4 | 2,-,-,73,1007.3,0.0,0.0
112,08/31 06:10,28.5,X,東北東,2.8 | 2,-,-,73,1007.2,0.0,0.0
113,08/31 06:00,28.6,X,東北東,2.0 | 2,-,-,72,1007.1,0.0,0.0
114,08/31 05:50,28.6,X,東北,3.1 | 2,-,-,72,1007.1,0.0,0.0
115,08/31 05:40,28.6,X,東北,3.5 | 3,-,-,72,1006.8,0.0,0.0
116,08/31 05:30,28.7,X,東北,4.3 | 3,-,-,70,1006.7,0.0,0.0
117,08/31 05:20,28.8,X,東北,3.4 | 3,-,-,69,1006.6,0.0,0.0
118,08/31 05:10,28.9,X,東北,3.9 | 3,-,-,68,1006.6,0.0,0.0
119,08/31 05:00,28.9,X,東北,4.0 | 3,-,-,68,1006.4,0.0,0.0
120,08/31 04:50,28.9,X,東北,3.6 | 3,-,-,68,1006.4,0.0,0.0
121,08/31 04:40,28.9,X,東北東,3.2 | 2,-,-,68,1006.5,0.0,0.0
122,08/31 04:30,28.9,X,東,2.6 | 2,-,-,68,1006.6,0.0,0.0
123,08/31 04:20,28.9,X,東,2.7 | 2,-,-,68,1006.7,0.0,0.0
124,08/31 04:10,28.9,X,東北東,3.2 | 2,-,-,69,1006.8,0.0,0.0
125,08/31 04:00,28.8,X,東北東,2.0 | 2,-,-,71,1006.9,0.0,0.0
126,08/31 03:50,28.9,X,東北東,2.5 | 2,-,-,71,1006.9,0.0,0.0
127,08/31 03:40,28.8,X,東北東,2.5 | 2,-,-,72,1006.9,0.0,0.0
128,08/31 03:30,28.8,X,東北東,2.8 | 2,-,-,73,1006.8,0.0,0.0
129,08/31 03:20,28.9,X,東北東,3.0 | 2,-,-,73,1006.9,0.0,0.0
130,08/31 03:10,28.8,X,東北,3.3 | 2,-,-,73,1006.6,0.0,0.0
131,08/31 03:00,28.8,X,東北東,2.5 | 2,-,-,73,1006.8,0.0,0.0
132,08/31 02:50,29.0,X,東北東,4.4 | 3,-,-,72,1006.9,0.0,0.0
133,08/31 02:40,29.0,X,東北,4.6 | 3,-,-,73,1006.9,0.0,0.0
134,08/31 02:30,29.1,X,東北,2.4 | 2,-,-,72,1006.9,0.0,0.0
135,08/31 02:20,29.1,X,東北東,2.8 | 2,-,-,71,1007.0,0.0,0.0
136,08/31 02:10,29.0,X,東北,3.5 | 3,-,-,71,1007.0,0.0,0.0
137,08/31 02:00,29.1,X,東北,2.5 | 2,-,-,70,1007.0,0.0,0.0
138,08/31 01:50,29.1,X,東北東,2.8 | 2,-,-,69,1007.1,0.0,0.0
139,08/31 01:40,29.0,X,東北東,3.3 | 2,-,-,69,1007.2,0.0,0.0
140,08/31 01:30,29.1,X,東北,3.5 | 3,-,-,68,1007.2,0.0,0.0
141,08/31 01:20,29.2,X,東北,2.8 | 2,-,-,68,1007.1,0.0,0.0
142,08/31 01:10,29.2,X,東北,2.8 | 2,-,-,68,1007.2,0.0,0.0
143,08/31 01:00,29.1,X,東北東,3.0 | 2,-,-,69,1007.4,0.0,0.0
144,08/31 00:50,29.2,X,東北,3.3 | 2,-,-,68,1007.5,0.0,0.0
145,08/31 00:40,29.3,X,東北,3.8 | 3,-,-,68,1007.4,0.0,0.0
146,08/31 00:30,29.4,X,東北,4.5 | 3,-,-,67,1007.2,0.0,0.0
147,08/31 00:20,29.3,X,東北,4.4 | 3,-,-,68,1007.3,0.0,0.0
148,08/31 00:10,29.4,X,東北,4.0 | 3,-,-,68,1007.3,0.0,0.0
149,08/31 00:00,29.4,X,東北,4.0 | 3,-,-,68,1007.3,0.0,4.2
150,08/30 23:50,29.4,X,東北,4.3 | 3,-,-,68,1007.4,0.0,4.2
