,觀測時間,溫度(°C>>°F),天氣,風向,風力(m/s) | (級),陣風(m/s) | (級),能見度(公里),相對溼度(%),海平面氣壓(百帕),當日累積雨量(毫米),日照時數(小時)
0,09/07 00:50,27.2,X,靜風,0.0 | 0,-,-,87,1009.9,0.0,0.0
1,09/07 00:40,27.2,X,北,0.3 | 1,-,-,87,1009.8,0.0,0.0
2,09/07 00:30,27.2,X,北,0.6 | 1,-,-,88,1009.8,0.0,0.0
3,09/07 00:20,27.4,X,北,0.8 | 1,-,-,87,1010.0,0.0,0.0
4,09/07 00:10,27.3,X,北北東,0.4 | 1,-,-,87,1010.2,0.0,0.0
5,09/07 00:00,27.5,X,靜風,0.0 | 0,-,-,85,1010.3,12.5,4.8
6,09/06 23:50,27.4,陰有雨,靜風,0.2 | 0,-,15.0,87,1010.5,12.5,4.8
7,09/06 23:40,27.3,陰有雨,靜風,0.1 | 0,-,15.0,87,1010.7,12.5,4.8
8,09/06 23:30,27.2,陰有雨,靜風,0.1 | 0,-,15.0,87,1010.8,12.5,4.8
9,09/06 23:20,26.9,陰有雨,西南,0.4 | 1,-,15.0,89,1010.9,12.5,4.8
10,09/06 23:10,26.8,陰有雨,西南,0.7 | 1,-,15.0,91,1011.2,12.5,4.8
11,09/06 23:00,27.0,陰有雨,西南,1.0 | 1,-,15.0,90,1011.1,12.0,4.8
12,09/06 22:50,27.3,X,西南,0.7 | 1,-,-,89,1011.0,12.0,4.8
13,09/06 22:40,27.4,X,西南,0.9 | 1,-,-,88,1010.9,12.0,4.8
14,09/06 22:30,28.1,X,西南,0.4 | 1,-,-,81,1010.9,12.0,4.8
15,09/06 22:20,28.3,X,西,0.7 | 1,-,-,78,1010.8,12.0,4.8
16,09/06 22:10,28.2,X,西南,0.5 | 1,-,-,79,1010.8,12.0,4.8
17,09/06 22:00,28.3,X,西南,0.5 | 1,-,-,79,1010.7,12.0,4.8
18,09/06 21:50,28.3,X,西南西,0.7 | 1,-,-,79,1010.7,12.0,4.8
19,09/06 21:40,28.3,X,西南西,0.4 | 1,-,-,78,1010.5,12.0,4.8
20,09/06 21:30,28.4,X,西,1.0 | 1,-,-,78,1010.6,12.0,4.8
21,09/06 21:20,28.8,X,西南西,0.5 | 1,-,-,75,1010.6,12.0,4.8
22,09/06 21:10,29.0,X,西南西,0.5 | 1,-,-,74,1010.6,12.0,4.8
23,09/06 21:00,29.0,X,西,1.0 | 1,-,-,73,1010.5,12.0,4.8
24,09/06 20:50,29.1,多雲,西,0.3 | 1,-,18.0,73,1010.5,12.0,4.8
25,09/06 20:40,29.1,多雲,西,0.5 | 1,-,18.0,73,1010.4,12.0,4.8
26,09/06 20:30,29.0,多雲,西,0.4 | 1,-,18.0,75,1010.5,12.0,4.8
27,09/06 20:20,28.9,多雲,西南西,0.3 | 1,-,18.0,75,1010.3,12.0,4.8
28,09/06 20:10,29.0,多雲,西,1.1 | 1,-,18.0,74,1010.2,12.0,4.8
29,09/06 20:00,29.2,多雲,西,1.0 | 1,-,18.0,73,1010.0,12.0,4.8
30,09/06 19:50,29.2,X,西,1.2 | 1,-,-,73,1010.0,12.0,4.8
31,09/06 19:40,29.3,X,西,0.6 | 1,-,-,72,1010.0,12.0,4.8
32,09/06 19:30,29.4,X,西,0.9 | 1,-,-,72,1010.0,12.0,4.8
33,09/06 19:20,29.4,X,西,0.8 | 1,-,-,72,1009.8,12.0,4.8
34,09/06 19:10,29.3,X,西,1.3 | 1,-,-,73,1009.7,12.0,4.8
35,09/06 19:00,29.3,X,西,1.0 | 1,-,-,73,1009.7,12.0,4.8
