,觀測時間,溫度(°C>>°F),天氣,風向,風力(m/s) | (級),陣風(m/s) | (級),能見度(公里),相對溼度(%),海平面氣壓(百帕),當日累積雨量(毫米),日照時數(小時)
0,09/14 00:50,27.7,X,靜風,0.1 | 0,-,-,77,1007.6,0.0,0.0
1,09/14 00:40,28.0,X,靜風,0.1 | 0,-,-,77,1007.8,0.0,0.0
2,09/14 00:30,28.3,X,西北西,0.3 | 1,-,-,77,1008.0,0.0,0.0
3,09/14 00:20,28.5,X,靜風,0.1 | 0,-,-,75,1008.2,0.0,0.0
4,09/14 00:10,28.5,X,靜風,0.1 | 0,-,-,75,1008.4,0.0,0.0
5,09/14 00:00,28.7,X,靜風,0.0 | 0,-,-,75,1008.5,0.0,7.3
6,09/13 23:50,28.6,晴,西南西,0.3 | 1,-,15.0,75,1008.6,0.0,7.3
7,09/13 23:40,28.6,晴,靜風,0.2 | 0,-,15.0,75,1008.7,0.0,7.3
8,09/13 23:30,28.6,晴,靜風,0.2 | 0,-,15.0,76,1008.8,0.0,7.3
9,09/13 23:20,28.5,晴,靜風,0.1 | 0,-,15.0,77,1008.9,0.0,7.3
10,09/13 23:10,28.5,晴,靜風,0.0 | 0,-,15.0,76,1008.8,0.0,7.3
11,09/13 23:00,28.3,晴,靜風,0.0 | 0,-,15.0,78,1008.8,0.0,7.3
12,09/13 22:50,28.5,X,西,0.5 | 1,-,-,77,1008.7,0.0,7.3
13,09/13 22:40,28.8,X,西,0.7 | 1,-,-,76,1008.7,0.0,7.3
14,09/13 22:30,29.1,X,西,1.1 | 1,-,-,75,1008.7,0.0,7.3
15,09/13 22:20,29.1,X,西南,0.9 | 1,-,-,76,1008.7,0.0,7.3
16,09/13 22:10,29.2,X,西南,0.9 | 1,-,-,77,1008.9,0.0,7.3
17,09/13 22:00,29.1,X,南南西,0.5 | 1,-,-,77,1008.9,0.0,7.3
18,09/13 21:50,29.0,晴,靜風,0.2 | 0,-,-,79,1008.9,0.0,7.3
19,09/13 21:40,29.0,晴,南南西,0.4 | 1,-,-,79,1008.9,0.0,7.3
20,09/13 21:30,29.1,晴,南南西,0.8 | 1,-,-,78,1008.8,0.0,7.3
21,09/13 21:20,29.1,晴,南南西,1.0 | 1,-,-,78,1008.7,0.0,7.3
22,09/13 21:10,29.0,晴,南,1.4 | 1,-,-,79,1008.8,0.0,7.3
23,09/13 21:00,29.0,晴,南南西,1.0 | 1,-,-,80,1008.7,0.0,7.3
24,09/13 20:50,29.0,晴,南南西,1.3 | 1,-,10.0,80,1008.6,0.0,7.3
25,09/13 20:40,29.0,晴,南南西,1.3 | 1,-,10.0,80,1008.7,0.0,7.3
26,09/13 20:30,29.0,晴,南南西,1.2 | 1,-,10.0,80,1008.7,0.0,7.3
27,09/13 20:20,29.0,晴,西南,0.9 | 1,-,10.0,80,1008.6,0.0,7.3
28,09/13 20:10,29.1,晴,西南,1.1 | 1,-,10.0,80,1008.7,0.0,7.3
29,09/13 20:00,29.1,晴,西南,0.5 | 1,-,10.0,81,1008.9,0.0,7.3
30,09/13 19:50,29.3,X,南南西,1.0 | 1,-,-,80,1008.9,0.0,7.3
31,09/13 19:40,29.3,X,南南西,0.9 | 1,-,-,79,1008.8,0.0,7.3
32,09/13 19:30,29.3,X,南南西,1.0 | 1,-,-,79,1008.7,0.0,7.3
33,09/13 19:20,29.4,X,南南西,0.9 | 1,-,-,78,1008.8,0.0,7.3
34,09/13 19:10,29.4,X,南南西,1.4 | 1,-,-,77,1008.9,0.0,7.3
35,09/13 19:00,29.3,X,南,1.5 | 1,-,-,78,1008.9,0.0,7.3
36,09/13 18:50,29.3,X,南南西,1.6 | 2,-,-,78,1008.6,0.0,7.3
37,09/13 18:40,29.4,X,南南西,1.2 | 1,-,-,78,1008.5,0.0,7.3
38,09/13 18:30,29.4,X,南,0.9 | 1,-,-,77,1008.2,0.0,7.3
39,09/13 18:20,29.4,X,南南西,1.6 | 2,-,-,76,1008.0,0.0,7.3
40,09/13 18:10,29.4,X,南南西,1.8 | 2,-,-,77,1007.8,0.0,7.3
41,09/13 18:00,29.5,X,南南西,2.0 | 2,-,-,77,1007.8,0.0,7.3
42,09/13 17:50,29.5,陰有霾,南,1.3 | 1,-,9.0,78,1007.6,0.0,7.3
43,09/13 17:40,29.7,陰有霾,南,1.8 | 2,-,9.0,77,1007.6,0.0,7.3
44,09/13 17:30,29.8,陰有霾,南,2.4 | 2,-,9.0,76,1007.5,0.0,7.3
45,09/13 17:20,29.8,陰有霾,南,2.7 | 2,-,9.0,75,1007.5,0.0,7.3
46,09/13 17:10,29.9,陰有霾,南,2.7 | 2,-,9.0,76,1007.4,0.0,7.3
47,09/13 17:00,30.1,陰有霾,南,3.0 | 2,-,9.0,75,1007.4,0.0,7.3
48,09/13 16:50,30.0,陰,南,2.0 | 2,-,-,75,1007.5,0.0,7.3
49,09/13 16:40,30.1,陰,南,1.5 | 1,-,-,74,1007.4,0.0,7.3
50,09/13 16:30,30.1,陰,南,1.0 | 1,-,-,75,1007.5,0.0,7.3
51,09/13 16:20,30.4,陰,南,1.5 | 1,-,-,73,1007.5,0.0,7.3
52,09/13 16:10,30.7,陰,南南東,1.5 | 1,-,-,74,1007.6,0.0,7.3
53,09/13 16:00,30.7,陰,南,1.0 | 1,-,-,71,1007.6,0.0,7.2
54,09/13 15:50,31.4,多雲,南南東,2.0 | 2,-,-,69,1007.7,0.0,7.1
55,09/13 15:40,31.0,多雲,南南東,2.7 | 2,-,-,71,1007.5,0.0,7.0
56,09/13 15:30,31.3,多雲,南南東,2.0 | 2,-,-,70,1007.5,0.0,6.9
57,09/13 15:20,31.4,多雲,東南,1.9 | 2,-,-,70,1007.6,0.0,6.8
58,09/13 15:10,31.8,多雲,東南,1.8 | 2,-,-,69,1007.6,0.0,6.6
59,09/13 15:00,31.8,多雲,東南東,2.0 | 2,-,-,69,1007.5,0.0,6.5
60,09/13 14:50,31.4,多雲,東南東,1.5 | 1,-,15.0,70,1007.8,0.0,6.3
61,09/13 14:40,31.4,多雲,東南東,2.3 | 2,-,15.0,70,1007.6,0.0,6.2
62,09/13 14:30,32.2,多雲,東,1.8 | 2,-,15.0,68,1007.8,0.0,6.0
63,09/13 14:20,32.3,多雲,東,1.6 | 2,-,15.0,67,1007.9,0.0,5.9
64,09/13 14:10,31.9,多雲,東,2.3 | 2,-,15.0,68,1008.0,0.0,5.7
65,09/13 14:00,31.9,多雲,東,1.5 | 1,-,15.0,69,1008.0,0.0,5.5
66,09/13 13:50,31.8,陰,東北,1.9 | 2,-,-,68,1008.2,0.0,5.4
67,09/13 13:40,31.4,陰,東北東,2.6 | 2,-,-,68,1008.4,0.0,5.2
68,09/13 13:30,31.4,陰,東北東,2.1 | 2,-,-,70,1008.5,0.0,5.2
69,09/13 13:20,30.8,陰,東北,2.3 | 2,-,-,72,1008.4,0.0,5.2
70,09/13 13:10,30.8,陰,東北,2.2 | 2,-,-,73,1008.4,0.0,5.2
71,09/13 13:00,31.1,陰,東北東,2.0 | 2,-,-,72,1008.2,0.0,5.1
72,09/13 12:50,30.7,多雲,東北,2.7 | 2,-,-,74,1008.1,0.0,5.0
73,09/13 12:40,30.8,多雲,東北東,2.4 | 2,-,-,74,1008.1,0.0,5.0
74,09/13 12:30,31.0,多雲,東北東,2.3 | 2,-,-,72,1008.0,0.0,5.0
75,09/13 12:20,31.5,多雲,東北東,3.0 | 2,-,-,70,1007.8,0.0,4.9
76,09/13 12:10,33.3,多雲,東北東,2.2 | 2,-,-,66,1007.6,0.0,4.8
77,09/13 12:00,32.4,多雲,東北東,2.5 | 2,-,-,67,1007.7,0.0,4.6
78,09/13 11:50,31.9,多雲,東北東,2.0 | 2,-,25.0,70,1007.6,0.0,4.5
79,09/13 11:40,31.2,多雲,東北東,3.0 | 2,-,25.0,71,1007.9,0.0,4.3
80,09/13 11:30,32.3,多雲,東北,2.9 | 2,-,25.0,68,1008.1,0.0,4.2
81,09/13 11:20,32.5,多雲,東北東,2.9 | 2,-,25.0,66,1008.5,0.0,4.0
82,09/13 11:10,32.6,多雲,東北東,2.5 | 2,-,25.0,67,1008.5,0.0,3.9
83,09/13 11:00,32.7,多雲,東北東,2.5 | 2,-,25.0,64,1008.8,0.0,3.7
84,09/13 10:50,-,多雲,－,-,-,-,-,-,-,3.6
85,09/13 10:40,-,多雲,－,-,-,-,-,-,-,3.4
86,09/13 10:30,-,多雲,－,-,-,-,-,-,-,3.2
87,09/13 10:20,-,多雲,－,-,-,-,-,-,-,3.1
88,09/13 10:10,-,多雲,－,-,-,-,-,-,-,2.9
89,09/13 10:00,32.2,多雲,東北,2.0 | 2,-,-,64,1010.3,0.0,2.8
