,觀測時間,溫度(°C>>°F),天氣,風向,風力(m/s) | (級),陣風(m/s) | (級),能見度(公里),相對溼度(%),海平面氣壓(百帕),當日累積雨量(毫米),日照時數(小時)
0,08/20 00:50,28.8,X,西北西,0.9 | 1,-,-,75,1009.6,0.0,0.0
1,08/20 00:40,28.8,X,西北西,1.1 | 1,-,-,75,1009.8,0.0,0.0
2,08/20 00:30,28.8,X,西北西,1.4 | 1,-,-,75,1010.0,0.0,0.0
3,08/20 00:20,28.9,X,西北,0.3 | 1,-,-,76,1010.0,0.0,0.0
4,08/20 00:10,28.9,X,西北,0.6 | 1,-,-,76,1010.1,0.0,0.0
5,08/20 00:00,29.0,X,西北,0.5 | 1,-,-,76,1010.3,0.0,10.9
6,08/19 23:50,29.3,晴,北北西,0.8 | 1,-,12.0,76,1010.4,0.0,10.9
7,08/19 23:40,29.2,晴,北北西,0.3 | 1,-,12.0,76,1010.5,0.0,10.9
8,08/19 23:30,29.2,晴,靜風,0.2 | 0,-,12.0,76,1010.4,0.0,10.9
9,08/19 23:20,29.3,晴,北,0.4 | 1,-,12.0,75,1010.4,0.0,10.9
10,08/19 23:10,29.4,晴,北,0.3 | 1,-,12.0,76,1010.6,0.0,10.9
11,08/19 23:00,29.3,晴,北,0.5 | 1,-,12.0,77,1010.6,0.0,10.9
12,08/19 22:50,29.4,X,北北西,0.6 | 1,-,-,77,1010.7,0.0,10.9
13,08/19 22:40,29.5,X,北北西,0.3 | 1,-,-,77,1010.7,0.0,10.9
14,08/19 22:30,29.5,X,北,0.3 | 1,-,-,77,1010.9,0.0,10.9
15,08/19 22:20,29.6,X,西北,0.8 | 1,-,-,78,1011.0,0.0,10.9
16,08/19 22:10,29.7,X,北,0.9 | 1,-,-,77,1011.0,0.0,10.9
17,08/19 22:00,29.7,X,北,1.0 | 1,-,-,77,1011.0,0.0,10.9
18,08/19 21:50,29.7,X,北北東,1.4 | 1,-,-,76,1010.9,0.0,10.9
19,08/19 21:40,29.8,X,北北東,0.8 | 1,-,-,76,1010.9,0.0,10.9
