,觀測時間,溫度(°C>>°F),天氣,風向,風力(m/s) | (級),陣風(m/s) | (級),能見度(公里),相對溼度(%),海平面氣壓(百帕),當日累積雨量(毫米),日照時數(小時)
0,08/31 00:50,28.1,X,北北西,1.1 | 1,-,-,79,1007.7,0.0,0.0
1,08/31 00:40,28.2,X,北,1.2 | 1,-,-,78,1007.9,0.0,0.0
2,08/31 00:30,28.3,X,北,1.4 | 1,-,-,78,1007.9,0.0,0.0
3,08/31 00:20,28.0,X,北北西,0.9 | 1,-,-,81,1007.8,0.0,0.0
4,08/31 00:10,28.0,X,北北西,0.9 | 1,-,-,80,1007.9,0.0,0.0
5,08/31 00:00,28.2,X,北,1.5 | 1,-,-,80,1007.7,8.5,8.8
6,08/30 23:50,28.3,陰,北,1.3 | 1,-,35.0,80,1007.7,8.5,8.8
7,08/30 23:40,28.2,陰,北北西,0.8 | 1,-,35.0,81,1007.8,8.5,8.8
8,08/30 23:30,28.3,陰,北,1.5 | 1,-,35.0,80,1007.8,8.5,8.8
9,08/30 23:20,28.5,陰,北,2.2 | 2,-,35.0,80,1007.6,8.5,8.8
10,08/30 23:10,28.7,陰,北,2.0 | 2,-,35.0,81,1007.7,8.5,8.8
11,08/30 23:00,28.5,陰,北北西,0.5 | 1,-,35.0,81,1007.5,8.5,8.8
12,08/30 22:50,27.9,X,靜風,0.2 | 0,-,-,83,1007.5,8.5,8.8
13,08/30 22:40,27.9,X,東南東,0.7 | 1,-,-,82,1007.4,8.5,8.8
14,08/30 22:30,27.5,X,西南西,0.3 | 1,-,-,84,1007.2,8.5,8.8
15,08/30 22:20,27.5,X,靜風,0.0 | 0,-,-,83,1007.1,8.5,8.8
16,08/30 22:10,27.5,X,西,0.3 | 1,-,-,85,1006.8,8.5,8.8
17,08/30 22:00,26.9,X,靜風,0.0 | 0,-,-,87,1006.5,8.5,8.8
18,08/30 21:50,27.5,X,北北東,0.7 | 1,-,-,82,1006.4,8.5,8.8
19,08/30 21:40,27.6,X,北北東,0.9 | 1,-,-,81,1006.5,8.5,8.8
20,08/30 21:30,27.9,X,北北東,2.2 | 2,-,-,79,1006.6,8.5,8.8
21,08/30 21:20,28.0,X,北,2.5 | 2,-,-,79,1006.5,8.5,8.8
22,08/30 21:10,27.8,X,北,3.1 | 2,-,-,82,1006.8,8.5,8.8
23,08/30 21:00,26.8,X,北北西,1.0 | 1,-,-,89,1007.2,8.5,8.8
24,08/30 20:50,26.3,陰有陣雨,東北,1.0 | 1,-,1.1,93,1007.5,8.0,8.8
25,08/30 20:40,26.2,陰有陣雨,北北西,0.9 | 1,-,1.1,93,1007.9,8.0,8.8
26,08/30 20:30,26.1,陰有陣雨,北,1.4 | 1,-,1.1,93,1007.8,8.0,8.8
27,08/30 20:20,25.7,陰有陣雨,北,1.9 | 2,-,1.1,94,1007.9,8.0,8.8
28,08/30 20:10,25.5,陰有陣雨,北,2.3 | 2,-,1.1,95,1008.5,8.0,8.8
29,08/30 20:00,25.6,陰有陣雨,北北東,1.5 | 1,-,1.1,95,1008.7,8.0,8.8
30,08/30 19:50,25.6,X,東北東,2.2 | 2,-,-,93,1009.5,3.5,8.8
31,08/30 19:40,25.9,X,東北東,3.4 | 3,-,-,93,1009.7,1.0,8.8
32,08/30 19:30,26.3,X,東北東,4.3 | 3,-,-,89,1009.9,0.5,8.8
33,08/30 19:20,27.2,X,東北東,3.7 | 3,-,-,89,1009.7,-,8.8
34,08/30 19:10,29.1,X,東北,2.5 | 2,-,-,86,1009.3,0.0,8.8
35,08/30 19:00,29.2,X,東北,2.5 | 2,-,-,85,1009.1,0.0,8.8
36,08/30 18:50,29.2,X,東北,3.0 | 2,-,-,85,1008.9,0.0,8.8
37,08/30 18:40,29.2,X,東北,2.0 | 2,-,-,84,1008.8,0.0,8.8
38,08/30 18:30,29.2,X,東北,1.6 | 2,-,-,82,1008.5,0.0,8.8
39,08/30 18:20,29.2,X,北北東,2.4 | 2,-,-,80,1008.2,0.0,8.8
40,08/30 18:10,29.2,X,東北,2.5 | 2,-,-,81,1008.0,0.0,8.8
41,08/30 18:00,29.3,X,東北,2.0 | 2,-,-,81,1008.1,0.0,8.8
42,08/30 17:50,29.3,陰有雨,東北,2.5 | 2,-,30.0,83,1008.2,0.0,8.8
43,08/30 17:40,29.2,陰有雨,東北,2.5 | 2,-,30.0,85,1008.2,0.0,8.8
44,08/30 17:30,29.1,陰有雨,東北,2.6 | 2,-,30.0,85,1008.2,0.0,8.8
