,觀測時間,溫度(°C>>°F),天氣,風向,風力(m/s) | (級),陣風(m/s) | (級),能見度(公里),相對溼度(%),海平面氣壓(百帕),當日累積雨量(毫米),日照時數(小時)
0,09/02 00:50,24.5,X,西南西,1.6 | 2,-,-,98,1006.0,-,0.0
1,09/02 00:40,24.5,X,西南西,2.0 | 2,-,-,98,1006.2,-,0.0
2,09/02 00:30,24.5,X,西南西,2.0 | 2,-,-,98,1006.3,-,0.0
3,09/02 00:20,24.5,X,西南,1.8 | 2,-,-,98,1006.4,-,0.0
4,09/02 00:10,24.5,X,西南,1.4 | 1,-,-,98,1006.4,-,0.0
5,09/02 00:00,24.5,X,西南,1.0 | 1,-,-,99,1006.7,231.0,0.0
6,09/01 23:50,24.6,X,南,1.5 | 1,-,-,98,1006.9,230.5,0.0
7,09/01 23:40,24.5,X,西南,1.2 | 1,-,-,99,1007.2,230.5,0.0
8,09/01 23:30,24.4,X,南南西,1.0 | 1,-,-,99,1007.3,230.0,0.0
9,09/01 23:20,24.4,X,南南西,0.8 | 1,-,-,100,1007.4,229.5,0.0
10,09/01 23:10,24.5,X,西南,1.1 | 1,-,-,99,1007.4,228.5,0.0
11,09/01 23:00,24.6,X,西南,1.0 | 1,-,-,99,1007.5,227.5,0.0
12,09/01 22:50,24.6,X,南南西,1.2 | 1,-,-,99,1007.7,227.0,0.0
13,09/01 22:40,24.6,X,西南,1.4 | 1,-,-,99,1007.8,226.5,0.0
14,09/01 22:30,-,X,－,-,-,-,-,-,-,-
15,09/01 22:20,-,X,－,-,-,-,-,-,-,-
16,09/01 22:10,24.8,X,南,0.6 | 1,-,-,99,1007.8,225.0,0.0
17,09/01 22:00,24.8,X,南,2.0 | 2,-,-,98,1008.0,224.0,0.0
18,09/01 21:50,24.5,X,南,2.3 | 2,-,-,98,1008.0,223.0,0.0
19,09/01 21:40,24.5,X,南,2.1 | 2,-,-,99,1007.9,220.5,0.0
20,09/01 21:30,24.7,X,南,2.9 | 2,-,-,100,1007.9,218.5,0.0
21,09/01 21:20,25.2,X,南南西,1.1 | 1,-,-,99,1008.0,217.5,0.0
22,09/01 21:10,25.1,X,西南西,2.5 | 2,-,-,100,1007.7,217.0,0.0
23,09/01 21:00,25.2,X,南南西,1.5 | 1,-,-,99,1007.5,216.0,0.0
24,09/01 20:50,25.2,陰有雨,西,1.5 | 1,11.0 | 6,8.0,99,1007.7,212.5,0.0
25,09/01 20:40,24.9,陰有雨,北北西,2.5 | 2,11.0 | 6,8.0,99,1007.3,206.0,0.0
26,09/01 20:30,25.0,陰有雨,東北,4.5 | 3,11.0 | 6,8.0,99,1007.5,203.0,0.0
27,09/01 20:20,25.0,陰有雨,東北東,3.1 | 2,11.0 | 6,8.0,100,1007.4,188.5,0.0
28,09/01 20:10,25.7,陰有雨,北,3.7 | 3,11.0 | 6,8.0,100,1007.1,175.5,0.0
29,09/01 20:00,25.7,陰有雨,西,2.5 | 2,11.0 | 6,8.0,99,1006.4,169.5,0.0
30,09/01 19:50,25.7,X,南南東,1.3 | 1,11.0 | 6,-,96,1006.4,168.0,0.0
31,09/01 19:40,25.6,X,東北東,1.6 | 2,11.0 | 6,-,94,1006.5,160.0,0.0
32,09/01 19:30,25.5,X,東北,4.9 | 3,11.0 | 6,-,93,1006.5,147.5,0.0
33,09/01 19:20,25.3,X,東南東,4.0 | 3,11.0 | 6,-,93,1006.4,136.0,0.0
34,09/01 19:10,25.7,X,東南,4.2 | 3,11.0 | 6,-,94,1006.2,117.0,0.0
35,09/01 19:00,26.1,X,東南東,4.0 | 3,11.0 | 6,-,93,1006.2,102.5,0.0
