,觀測時間,溫度(°C>>°F),天氣,風向,風力(m/s) | (級),陣風(m/s) | (級),能見度(公里),相對溼度(%),海平面氣壓(百帕),當日累積雨量(毫米),日照時數(小時)
0,09/09 00:50,27.4,X,靜風,0.2 | 0,-,-,86,1010.0,0.0,0.0
1,09/09 00:40,27.2,X,靜風,0.1 | 0,-,-,87,1010.1,0.0,0.0
2,09/09 00:30,27.5,X,西南西,0.7 | 1,-,-,86,1010.2,0.0,0.0
3,09/09 00:20,27.6,X,西南西,1.3 | 1,-,-,85,1010.3,0.0,0.0
4,09/09 00:10,27.5,X,西南西,1.3 | 1,-,-,86,1010.3,0.0,0.0
5,09/09 00:00,27.7,X,西南西,1.5 | 1,-,-,86,1010.4,0.0,4.3
6,09/08 23:50,27.9,X,西南西,1.1 | 1,-,-,85,1010.4,0.0,4.3
7,09/08 23:40,27.9,X,西南西,1.4 | 1,-,-,86,1010.5,0.0,4.3
8,09/08 23:30,28.0,X,靜風,0.1 | 0,-,-,85,1010.6,0.0,4.3
9,09/08 23:20,27.7,X,西,0.3 | 1,-,-,86,1010.7,0.0,4.3
10,09/08 23:10,27.9,X,靜風,0.1 | 0,-,-,85,1010.9,0.0,4.3
11,09/08 23:00,27.9,X,西,0.5 | 1,-,-,85,1011.0,0.0,4.3
12,09/08 22:50,28.2,X,西南,0.3 | 1,-,-,83,1011.0,0.0,4.3
13,09/08 22:40,28.3,X,靜風,0.2 | 0,-,-,83,1011.1,0.0,4.3
14,09/08 22:30,28.2,X,南南西,0.5 | 1,-,-,84,1011.2,0.0,4.3
15,09/08 22:20,28.1,X,西南,0.9 | 1,-,-,87,1011.2,0.0,4.3
16,09/08 22:10,28.1,X,西南,1.1 | 1,-,-,86,1011.2,0.0,4.3
17,09/08 22:00,28.2,X,西南,1.0 | 1,-,-,85,1011.3,0.0,4.3
18,09/08 21:50,28.1,X,西南,1.2 | 1,-,-,86,1011.3,0.0,4.3
19,09/08 21:40,28.4,X,西南,0.9 | 1,-,-,85,1011.3,0.0,4.3
20,09/08 21:30,28.4,X,西南,0.9 | 1,-,-,85,1011.3,0.0,-
21,09/08 21:20,28.5,X,西南,1.4 | 1,-,-,84,1011.3,0.0,4.3
22,09/08 21:10,28.6,X,西南,0.9 | 1,-,-,84,1011.4,0.0,4.3
23,09/08 21:00,28.7,X,西南,0.5 | 1,-,-,83,1011.2,0.0,4.3
24,09/08 20:50,28.6,陰,西南,0.9 | 1,-,12.0,83,1011.1,0.0,4.3
25,09/08 20:40,28.8,陰,西南西,1.1 | 1,-,12.0,83,1011.0,0.0,4.3
26,09/08 20:30,28.9,陰,西,0.8 | 1,-,12.0,82,1010.8,0.0,4.3
27,09/08 20:20,28.9,陰,西南西,1.1 | 1,-,12.0,83,1010.8,0.0,4.3
28,09/08 20:10,28.9,陰,西南,1.0 | 1,-,12.0,82,1010.7,0.0,4.3
29,09/08 20:00,28.9,陰,西南,1.0 | 1,-,12.0,83,1010.6,0.0,4.3
30,09/08 19:50,28.8,X,南南西,1.0 | 1,-,-,83,1010.4,0.0,4.3
31,09/08 19:40,28.8,X,南南西,1.1 | 1,-,-,83,1010.3,0.0,4.3
32,09/08 19:30,28.9,X,南,0.8 | 1,-,-,83,1010.2,0.0,4.3
33,09/08 19:20,29.1,X,東北,0.8 | 1,-,-,85,1010.1,0.0,4.3
34,09/08 19:10,29.1,X,北北東,0.8 | 1,-,-,85,1010.0,0.0,4.3
35,09/08 19:00,29.0,X,北北東,1.0 | 1,-,-,85,1010.0,0.0,4.3
36,09/08 18:50,29.2,X,東北,1.1 | 1,-,-,85,1010.1,0.0,4.3
