,觀測時間,溫度(°C>>°F),天氣,風向,風力(m/s) | (級),陣風(m/s) | (級),能見度(公里),相對溼度(%),海平面氣壓(百帕),當日累積雨量(毫米),日照時數(小時)
0,08/18 00:50,27.6,X,西南,1.4 | 1,-,-,78,1010.7,0.0,0.0
1,08/18 00:40,27.5,X,西南,1.3 | 1,-,-,79,1010.8,0.0,0.0
2,08/18 00:30,27.5,X,西南,1.7 | 2,-,-,78,1011.0,0.0,0.0
3,08/18 00:20,27.6,X,西南,1.5 | 1,-,-,78,1010.9,0.0,0.0
4,08/18 00:10,27.7,X,西南,1.3 | 1,-,-,77,1011.0,0.0,0.0
5,08/18 00:00,27.9,X,西南,1.5 | 1,-,-,76,1011.2,0.0,8.2
6,08/17 23:50,28.0,X,西南,1.2 | 1,-,-,76,1011.0,0.0,8.2
7,08/17 23:40,27.7,X,西南,1.1 | 1,-,-,78,1010.9,0.0,8.2
8,08/17 23:30,27.9,X,西南,1.5 | 1,-,-,77,1011.0,0.0,8.2
9,08/17 23:20,28.1,X,西南,1.2 | 1,-,-,76,1011.0,0.0,8.2
10,08/17 23:10,28.1,X,西南,1.3 | 1,-,-,75,1011.1,0.0,8.2
11,08/17 23:00,27.9,X,西南,1.5 | 1,-,-,75,1011.0,0.0,8.2
12,08/17 22:50,28.0,X,西南,1.0 | 1,-,-,74,1011.0,0.0,8.2
13,08/17 22:40,28.0,X,西南,1.3 | 1,-,-,75,1011.2,0.0,8.2
14,08/17 22:30,28.3,X,西南,1.8 | 2,-,-,73,1011.1,0.0,8.2
15,08/17 22:20,28.3,X,西南,1.5 | 1,-,-,73,1011.0,0.0,8.2
16,08/17 22:10,28.2,X,西南,1.5 | 1,-,-,74,1011.0,0.0,8.2
17,08/17 22:00,28.3,X,西南,1.5 | 1,-,-,73,1010.9,0.0,8.2
18,08/17 21:50,28.2,X,西南,1.5 | 1,-,-,73,1010.7,0.0,8.2
19,08/17 21:40,28.3,X,西南,2.2 | 2,-,-,73,1010.7,0.0,8.2
20,08/17 21:30,28.4,X,西南,2.3 | 2,-,-,73,1010.6,0.0,8.2
21,08/17 21:20,28.4,X,西南西,2.3 | 2,-,-,73,1010.7,0.0,8.2
22,08/17 21:10,28.6,X,西南,1.6 | 2,-,-,73,1010.6,0.0,8.2
23,08/17 21:00,28.7,X,西南西,2.0 | 2,-,-,74,1010.4,0.0,8.2
24,08/17 20:50,28.7,晴,西南西,2.0 | 2,-,15.0,74,1010.4,0.0,8.2
25,08/17 20:40,28.7,晴,西南西,2.5 | 2,-,15.0,74,1010.4,0.0,8.2
26,08/17 20:30,29.0,晴,西南西,1.8 | 2,-,15.0,74,1010.4,0.0,8.2
27,08/17 20:20,29.3,晴,西,1.5 | 1,-,15.0,74,1010.2,0.0,8.2
28,08/17 20:10,29.6,晴,西,2.5 | 2,-,15.0,74,1010.2,0.0,8.2
29,08/17 20:00,29.6,晴,西北西,1.5 | 1,-,15.0,74,1010.0,0.0,8.2
30,08/17 19:50,29.4,X,西北西,1.4 | 1,-,-,77,1010.0,0.0,8.2
31,08/17 19:40,29.7,X,西北西,2.0 | 2,-,-,75,1010.0,0.0,8.2
32,08/17 19:30,29.7,X,西,2.2 | 2,-,-,75,1009.8,0.0,8.2
33,08/17 19:20,29.9,X,西北,2.5 | 2,-,-,74,1009.8,0.0,8.2
34,08/17 19:10,29.6,X,北,3.1 | 2,-,-,75,1009.8,0.0,8.2
35,08/17 19:00,29.7,X,北,3.0 | 2,-,-,76,1009.5,0.0,8.2
36,08/17 18:50,29.7,X,北,3.0 | 2,-,-,77,1009.6,0.0,8.2
37,08/17 18:40,29.7,X,北,2.5 | 2,-,-,78,1009.4,0.0,8.2
38,08/17 18:30,29.7,X,北,2.9 | 2,-,-,79,1009.5,0.0,8.2
39,08/17 18:20,29.8,X,北,2.6 | 2,-,-,80,1009.6,0.0,8.2
40,08/17 18:10,29.9,X,北北東,2.4 | 2,-,-,78,1009.6,0.0,8.2
41,08/17 18:00,29.9,X,東北,2.5 | 2,-,-,78,1009.5,0.0,8.2
42,08/17 17:50,30.1,多雲,東北東,2.6 | 2,-,15.0,79,1009.4,0.0,8.2
43,08/17 17:40,30.2,多雲,東北東,2.7 | 2,-,15.0,77,1009.2,0.0,8.2
44,08/17 17:30,30.4,多雲,東北,2.9 | 2,-,15.0,77,1009.3,0.0,8.2
45,08/17 17:20,30.4,多雲,東北,2.9 | 2,-,15.0,76,1009.3,0.0,8.2
46,08/17 17:10,30.6,多雲,東北東,3.1 | 2,-,15.0,73,1009.2,0.0,8.1
47,08/17 17:00,30.6,多雲,東北,3.0 | 2,-,15.0,72,1009.3,0.0,8.0
48,08/17 16:50,31.0,多雲,東北,3.5 | 3,-,-,73,1009.2,0.0,8.0
49,08/17 16:40,30.8,多雲,東北東,2.9 | 2,-,-,73,1009.2,0.0,7.9
50,08/17 16:30,30.8,多雲,東北東,3.0 | 2,-,-,75,1009.1,0.0,7.8
51,08/17 16:20,30.8,多雲,東北,3.4 | 3,-,-,75,1009.2,0.0,7.8
52,08/17 16:10,30.8,多雲,東北,3.5 | 3,-,-,77,1009.3,0.0,7.8
53,08/17 16:00,31.0,多雲,東北東,3.0 | 2,-,-,77,1009.3,0.0,7.8
54,08/17 15:50,31.5,多雲,東北東,3.0 | 2,-,-,76,1009.2,0.0,7.8
55,08/17 15:40,31.3,多雲,東,3.6 | 3,-,-,75,1009.3,0.0,7.8
56,08/17 15:30,31.3,多雲,東北東,3.5 | 3,-,-,74,1009.4,0.0,7.8
57,08/17 15:20,31.3,多雲,東,3.1 | 2,-,-,74,1009.4,0.0,7.8
58,08/17 15:10,31.7,多雲,東北東,4.1 | 3,-,-,74,1009.4,0.0,7.8
59,08/17 15:00,31.6,多雲,東,3.0 | 2,-,-,73,1009.4,0.0,7.8
60,08/17 14:50,31.4,多雲,東,3.6 | 3,-,15.0,73,1009.4,0.0,7.7
61,08/17 14:40,31.9,多雲,東,3.9 | 3,-,15.0,71,1009.4,0.0,7.7
62,08/17 14:30,32.2,多雲,東,4.3 | 3,-,15.0,72,1009.5,0.0,7.6
63,08/17 14:20,32.0,多雲,東北東,3.8 | 3,-,15.0,68,1009.5,0.0,7.4
64,08/17 14:10,32.8,多雲,東北東,3.2 | 2,-,15.0,68,1009.6,0.0,7.3
65,08/17 14:00,31.7,多雲,東,3.0 | 2,-,15.0,69,1009.8,0.0,7.2
66,08/17 13:50,32.5,多雲,東北東,2.9 | 2,-,-,67,1009.9,0.0,7.1
67,08/17 13:40,32.2,多雲,東北東,3.6 | 3,-,-,68,1010.0,0.0,7.0
68,08/17 13:30,32.4,多雲,東,3.5 | 3,-,-,67,1010.0,0.0,6.9
69,08/17 13:20,32.6,多雲,東,3.7 | 3,-,-,68,1010.2,0.0,6.8
70,08/17 13:10,32.6,多雲,東,3.3 | 2,-,-,68,1010.2,0.0,6.6
71,08/17 13:00,33.0,多雲,東,3.0 | 2,-,-,66,1010.2,0.0,6.5
72,08/17 12:50,33.1,晴,東,4.0 | 3,-,-,64,1010.4,0.0,6.4
73,08/17 12:40,33.6,晴,東北東,3.5 | 3,-,-,62,1010.4,0.0,6.2
74,08/17 12:30,32.9,晴,東,4.1 | 3,-,-,63,1010.6,0.0,6.0
75,08/17 12:20,33.7,晴,東北東,5.0 | 3,-,-,63,1010.5,0.0,5.9
76,08/17 12:10,33.8,晴,東北東,5.2 | 3,-,-,63,1010.5,0.0,5.7
77,08/17 12:00,33.3,晴,東北東,4.5 | 3,-,-,61,1010.7,0.0,5.6
78,08/17 11:50,34.0,晴,東北東,4.5 | 3,-,10.0,64,1010.6,0.0,5.4
79,08/17 11:40,33.8,晴,東北東,4.7 | 3,-,10.0,65,1010.6,0.0,5.2
80,08/17 11:30,33.6,晴,東,3.9 | 3,-,10.0,66,1010.6,0.0,5.1
81,08/17 11:20,33.3,晴,東北,3.8 | 3,-,10.0,65,1010.5,0.0,4.9
82,08/17 11:10,33.4,晴,東北,3.7 | 3,-,10.0,66,1010.6,0.0,4.8
83,08/17 11:00,33.6,晴,東北,4.0 | 3,-,10.0,65,1010.6,0.0,4.6
84,08/17 10:50,32.9,晴,東北,3.5 | 3,-,-,66,1010.6,0.0,4.4
85,08/17 10:40,33.5,晴,北北東,3.7 | 3,-,-,67,1010.5,0.0,4.3
86,08/17 10:30,32.7,晴,東北,4.1 | 3,-,-,68,1010.5,0.0,4.1
87,08/17 10:20,33.2,晴,東北,3.4 | 3,-,-,70,1010.5,0.0,3.9
88,08/17 10:10,32.9,晴,東北,3.5 | 3,-,-,69,1010.5,0.0,3.8
89,08/17 10:00,32.5,晴,東北,3.5 | 3,-,-,69,1010.6,0.0,3.6
90,08/17 09:50,32.7,晴,東北東,3.3 | 2,-,12.0,69,1010.5,0.0,3.5
91,08/17 09:40,32.5,晴,東北東,3.0 | 2,-,12.0,68,1010.4,0.0,3.3
92,08/17 09:30,32.4,晴,東北,3.0 | 2,-,12.0,69,1010.6,0.0,3.1
93,08/17 09:20,32.3,晴,東北,2.8 | 2,-,12.0,70,1010.5,0.0,3.0
94,08/17 09:10,32.3,晴,東北東,2.3 | 2,-,12.0,72,1010.5,0.0,2.8
95,08/17 09:00,31.7,晴,北北東,1.5 | 1,-,12.0,74,1010.5,0.0,2.7
96,08/17 08:50,32.1,晴,東北,2.2 | 2,-,12.0,74,1010.5,0.0,2.5
97,08/17 08:40,31.4,晴,東北,1.7 | 2,-,12.0,74,1010.5,0.0,2.3
98,08/17 08:30,30.9,晴,東北,0.9 | 1,-,12.0,76,1010.6,0.0,2.2
99,08/17 08:20,31.3,晴,東北東,1.0 | 1,-,12.0,74,1010.6,0.0,2.0
100,08/17 08:10,31.0,晴,東北東,1.1 | 1,-,12.0,75,1010.6,0.0,1.9
