,觀測時間,溫度(°C>>°F),天氣,風向,風力(m/s) | (級),陣風(m/s) | (級),能見度(公里),相對溼度(%),海平面氣壓(百帕),當日累積雨量(毫米),日照時數(小時)
0,08/27 00:50,28.2,X,東北東,1.4 | 1,-,-,83,1010.5,0.0,0.0
1,08/27 00:40,28.2,X,東北東,1.6 | 2,-,-,84,1010.6,0.0,0.0
2,08/27 00:30,28.4,X,東,1.9 | 2,-,-,82,1010.4,0.0,0.0
3,08/27 00:20,28.3,X,東北東,2.3 | 2,-,-,83,1010.4,0.0,0.0
4,08/27 00:10,28.6,X,東,2.5 | 2,-,-,81,1010.5,0.0,0.0
5,08/27 00:00,28.7,X,東,2.5 | 2,-,-,80,1010.5,0.0,9.9
6,08/26 23:50,28.9,X,東,2.8 | 2,-,-,79,1010.5,0.0,9.9
7,08/26 23:40,28.9,X,東,3.1 | 2,-,-,79,1010.6,0.0,9.9
8,08/26 23:30,28.9,X,東,3.0 | 2,-,-,79,1010.6,0.0,9.9
9,08/26 23:20,29.0,X,東南東,2.7 | 2,-,-,79,1010.6,0.0,9.9
10,08/26 23:10,29.1,X,東,3.4 | 3,-,-,77,1010.7,0.0,9.9
11,08/26 23:00,29.3,X,東,3.5 | 3,-,-,75,1010.6,0.0,9.9
12,08/26 22:50,29.4,X,東,3.9 | 3,-,-,75,1010.4,0.0,9.9
13,08/26 22:40,29.4,X,東,3.6 | 3,-,-,75,1010.3,0.0,9.9
14,08/26 22:30,29.4,X,東南東,3.4 | 3,-,-,76,1010.3,0.0,9.9
15,08/26 22:20,29.3,X,東,3.2 | 2,-,-,77,1010.3,0.0,9.9
16,08/26 22:10,29.3,X,東,3.5 | 3,-,-,78,1010.4,0.0,9.9
17,08/26 22:00,29.4,X,東,3.0 | 2,-,-,77,1010.3,0.0,9.9
18,08/26 21:50,29.4,X,東,2.8 | 2,-,-,77,1010.4,0.0,9.9
19,08/26 21:40,29.5,X,東南東,2.8 | 2,-,-,76,1010.4,0.0,9.9
20,08/26 21:30,29.5,X,東,3.5 | 3,-,-,77,1010.5,0.0,9.9
21,08/26 21:20,29.4,X,東,3.6 | 3,-,-,78,1010.4,0.0,9.9
22,08/26 21:10,29.4,X,東,4.0 | 3,-,-,79,1010.3,0.0,9.9
23,08/26 21:00,29.3,X,東,4.0 | 3,-,-,80,1010.3,0.0,9.9
24,08/26 20:50,29.4,晴,東,2.9 | 2,-,15.0,80,1010.4,0.0,9.9
25,08/26 20:40,29.3,晴,東,3.5 | 3,-,15.0,81,1010.2,0.0,9.9
26,08/26 20:30,29.1,晴,東,3.9 | 3,-,15.0,82,1010.3,0.0,9.9
27,08/26 20:20,29.0,晴,東,4.4 | 3,-,15.0,83,1010.2,0.0,9.9
28,08/26 20:10,29.0,晴,東,3.6 | 3,-,15.0,83,1010.2,0.0,9.9
29,08/26 20:00,28.9,晴,東北東,4.0 | 3,-,15.0,84,1010.3,0.0,9.9
30,08/26 19:50,28.7,X,東北東,4.8 | 3,-,-,85,1010.1,0.0,9.9
31,08/26 19:40,28.8,X,東北東,4.7 | 3,-,-,85,1010.0,0.0,9.9
32,08/26 19:30,28.7,X,東北東,4.0 | 3,-,-,85,1009.9,0.0,9.9
33,08/26 19:20,28.7,X,東北東,5.3 | 3,-,-,86,1009.8,0.0,9.9
34,08/26 19:10,28.8,X,東北東,4.8 | 3,-,-,86,1009.6,0.0,9.9
35,08/26 19:00,28.8,X,東北東,5.0 | 3,-,-,86,1009.5,0.0,9.9
36,08/26 18:50,28.9,X,東北東,5.3 | 3,-,-,86,1009.6,0.0,9.9
37,08/26 18:40,28.9,X,東北東,5.8 | 4,-,-,86,1009.5,0.0,9.9
38,08/26 18:30,28.9,X,東北東,5.1 | 3,-,-,85,1009.4,0.0,9.9
39,08/26 18:20,29.0,X,東北東,5.6 | 4,-,-,85,1009.3,0.0,9.9
40,08/26 18:10,29.1,X,東北東,5.5 | 4,-,-,84,1009.2,0.0,9.9
